Well,Plate,FSC_A,FSC_W,SSC_A,PVR_PECy7,PLVAP_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony
A1,1,"119,414","148,277","34,654","2,874",281,148,71,350,392,246,378,N
A2,1,"82,034","122,020","29,168",411,66,123,-67,85,"5,559",173,314,N
A3,1,"113,656","144,868","57,902","2,491",346,657,158,"1,234","1,542",566,"1,455",N
A4,1,"87,054","112,156","14,737","1,810",38,108,-37,176,394,364,187,N
A5,1,"80,681","118,268","42,549","1,127",121,"1,054",43,"1,291","8,320",505,"1,260",N
A6,1,"119,872","145,144","40,607",573,709,447,6,142,"12,515",302,"8,830",N
A7,1,"89,214","116,016","28,751",41,616,"1,074",249,"1,234","7,379",480,"1,127",N
A8,1,"93,630","120,222","23,769","2,117",135,105,-23,157,"1,145",231,216,N
A9,1,"109,000","133,335","33,051",760,336,311,60,556,"7,199",189,738,N
A10,1,"106,250","142,321","35,040","2,295",116,296,-21,463,"2,630",348,389,N
A11,1,"112,665","142,786","27,916","3,676",216,172,-21,339,661,444,405,N
A12,1,"89,316","113,924","19,656","1,041",54,81,-53,178,449,186,227,N
A13,1,"94,214","124,367","20,651","2,135",410,400,19,214,"7,656",224,"3,776",N
A14,1,"100,472","144,941","34,157","1,380",783,638,131,571,"14,845",180,"5,465",N
A15,1,"136,136","186,809","27,708","1,783",433,224,49,455,138,498,547,N
A16,1,"84,736","112,998","17,985","1,882",57,172,14,233,"1,214",254,236,N
A17,1,"91,753","138,357","36,917","2,031",359,379,126,503,"3,583",527,553,N
A18,1,"115,847","143,856","54,454","1,925",450,750,-16,"1,361","9,480",453,"1,341",N
A19,1,"76,538","134,517","52,960",440,339,349,182,564,298,342,720,N
A20,1,"98,854","125,863","29,161","2,313",239,274,-26,406,"1,058",378,659,N
A21,1,"85,016","113,003","24,772","1,679",174,146,233,126,523,-1,922,N
A22,1,"62,389","92,807","22,142",784,91,125,28,203,779,175,269,N
A23,1,"82,713","115,695","17,805","1,333",123,214,17,300,"3,034",152,473,N
A24,1,"103,095","131,162","22,401","2,175",709,742,112,415,"8,335",422,556,N
B1,1,"102,317","139,883","25,400","1,130",285,348,-3,170,"14,839",-93,"8,712",N
B2,1,"104,163","138,352","35,480",782,555,523,165,539,"16,711",169,"4,887",N
B3,1,"88,635","114,479","21,146","1,387",28,164,-68,251,3,308,315,N
B4,1,"120,017","149,783","37,775",761,371,617,83,739,"12,800",358,"2,314",N
B5,1,"117,815","137,926","36,831","2,996",118,185,-78,329,"1,187",363,398,N
B6,1,"83,605","114,559","20,422","1,213",-13,156,77,270,795,229,209,N
B7,1,"110,534","137,738","30,223","1,996",231,202,-84,286,878,569,334,N
B8,1,"91,201","120,756","26,408","1,920",196,490,66,491,517,118,"1,446",N
B9,1,"101,386","160,925","38,313","4,733",575,619,130,575,"6,429",553,"7,508",N
B10,1,"96,777","134,882","31,373","1,112",649,544,42,573,"10,139",217,"1,256",N
B11,1,"81,620","111,991","21,302",72,662,266,92,360,"13,964",91,"1,106",N
B12,1,"120,965","169,548","77,278",782,-74,283,695,"1,540","24,572",575,"23,945",N
B13,1,"98,058","141,533","25,123","2,855",264,370,-54,255,"7,350",234,435,N
B14,1,"92,868","129,491","50,282",360,526,458,208,637,"14,536",236,"8,454",N
B15,1,"106,369","134,349","31,714","1,539",50,64,51,193,103,376,228,N
B16,1,"114,526","148,564","29,581","2,099",103,375,-18,311,"2,702",545,"2,286",N
B17,1,"92,000","131,906","17,271","1,888",-61,74,6,183,89,175,191,N
B18,1,"111,487","161,890","48,782","1,154",965,734,132,150,"15,314",204,"12,753",N
B19,1,"100,882","137,979","27,154","4,531",-12,162,-107,154,"3,619",267,268,N
B20,1,"99,498","121,607","21,572","5,037",103,"1,764",53,595,"2,646",545,609,Y
B21,1,"85,713","130,178","44,439","1,233",234,"1,185",89,883,"8,559",320,708,N
B22,1,"78,873","108,475","25,292",790,21,225,60,369,292,217,385,N
B23,1,"76,765","104,132","26,699",647,187,390,29,611,851,373,821,N
B24,1,"112,685","146,314","25,940",6,"1,143",529,-72,-75,"14,079",-114,"12,672",N
C1,1,"96,456","121,263","51,770","1,445",282,679,272,"1,255","3,376",706,"1,448",N
C2,1,"72,973","101,950","21,673",276,116,329,-12,609,"2,191",186,781,N
C3,1,"104,162","126,922","43,238",669,223,394,55,723,346,372,800,N
C4,1,"96,196","132,399","27,026","2,572",57,208,-53,267,"1,115",715,299,N
C5,1,"85,828","114,326","41,010","4,022",578,609,697,"1,511",296,473,839,N
C6,1,"75,212","106,071","25,009",748,-114,115,23,222,895,251,278,N
C7,1,"128,588","151,969","32,861",927,490,813,165,547,"16,519",195,"3,700",N
C8,1,"119,571","131,610","45,276","2,696",895,653,48,443,"13,616",399,"6,368",N
C9,1,"122,315","153,986","47,511","6,324",295,"2,183",34,719,"7,402","1,756",714,N
C10,1,"113,801","139,484","33,177","1,152",505,283,-53,426,"1,464",378,613,N
C11,1,"162,805","202,090","37,679","3,924",211,222,90,330,592,421,455,N
C12,1,"121,416","161,503","39,785","1,800","1,544",301,1,-386,"20,837",-48,"20,852",N
C13,1,"85,913","132,377","26,112","1,034",-21,160,60,286,296,246,316,N
C14,1,"83,534","117,295","20,167","3,500",118,"1,316",-18,386,"7,183",780,475,N
C15,1,"113,145","137,947","50,774","2,488",522,452,172,634,"5,012",376,987,N
C16,1,"103,937","125,673","27,487","1,751",142,181,-13,283,714,216,345,N
C18,1,"100,948","123,168","38,037","1,324",508,485,-31,399,"7,983",219,388,N
C19,1,"81,008","122,030","33,742","1,657",307,"1,141",124,813,"5,306",349,757,Y
C20,1,"107,846","152,015","28,002","1,884",190,397,28,462,"9,140",271,457,N
C21,1,"121,563","141,453","26,365","2,621",110,142,-21,274,258,287,461,N
C22,1,"86,159","130,212","34,013","1,302",376,538,160,493,"8,921",122,"2,702",N
C23,1,"135,146","165,078","58,647","6,284",411,"1,877",112,445,"26,928",451,"8,185",N
C24,1,"94,288","121,026","36,874",988,268,357,-3,428,"1,636",291,659,N
D1,1,"103,582","134,122","27,636","2,476",-12,213,97,268,"1,692",200,301,N
D2,1,"83,284","115,520","19,746","1,463",120,466,29,206,"11,473",74,737,N
D3,1,"93,548","137,770","32,113",228,899,881,181,278,"16,916",-87,"11,726",N
D4,1,"92,747","120,754","23,140",433,0,222,6,179,593,135,326,N
D5,1,"105,400","151,292","63,043",-645,486,511,43,397,"25,399",-124,"14,911",N
D6,1,"112,489","146,291","38,975","2,815",559,"1,358",-110,440,"11,968",773,346,N
