Well,Plate,FSC_A,FSC_W,SSC_A,PVR_PECy7,PLVAP_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony
D7,1,"120,486","127,892","67,059","2,789","1,004","1,279",86,668,"15,198",605,"6,126",N
D8,1,"107,761","149,354","33,277",951,225,684,247,412,"8,036",459,705,N
D9,1,"128,359","157,422","68,359",975,715,"1,263",129,"1,085","26,030",545,"5,671",N
D10,1,"150,880","198,492","30,451","2,851",189,227,25,346,933,346,426,N
D11,1,"137,648","171,993","57,695",717,598,628,43,631,"12,998",298,"3,704",N
D12,1,"102,164","134,833","28,507","1,678",349,710,159,479,"3,314",231,577,N
D13,1,"96,479","128,543","28,303","3,240",148,259,54,434,340,330,585,N
D14,1,"124,152","147,833","24,908","1,360",822,381,17,127,"12,944",290,"4,409",N
D15,1,"146,467","168,625","60,575","3,040","1,011","1,127",137,335,"22,848",258,"9,139",N
D16,1,"104,780","131,164","43,909","2,935",27,287,15,481,"1,192",262,619,N
D17,1,"103,376","128,321","28,905","3,203",369,273,28,161,"7,761",226,"3,139",N
D18,1,"94,979","123,637","22,408","1,829",603,438,22,-15,"8,603",312,"6,648",N
D19,1,"91,335","116,864","28,682","1,524",219,266,77,337,"1,657",381,402,N
D20,1,"97,161","130,736","45,575","2,712",348,536,144,723,"7,684",742,"1,029",N
D21,1,"139,495","168,298","56,046","2,130",480,837,28,802,"7,539",403,"2,711",N
D22,1,"85,598","119,867","30,565","4,304",109,"1,963",61,793,"2,054",379,806,N
D23,1,"114,315","168,920","88,376",-291,521,698,8,"1,238","21,058",450,"3,799",N
D24,1,"84,609","116,923","34,777",464,590,368,3,652,"4,889",658,752,N
E1,1,"95,361","146,260","71,835",-297,820,722,-8,"1,219","10,609",2,"10,546",N
E2,1,"107,106","141,493","24,833","3,559",742,468,57,348,"13,823",452,"1,179",N
E3,1,"132,353","164,390","44,168","1,853",920,895,50,119,"25,210",299,"9,506",N
E4,1,"85,550","125,706","22,018",169,458,453,14,-117,"15,115",42,"10,272",N
E5,1,"122,850","159,906","44,607","3,313","1,755",983,17,555,"20,939",151,"3,052",N
E6,1,"114,410","159,532","86,060","1,286",828,"1,253",-68,"1,021","20,271",468,"4,021",N
E7,1,"77,873","108,392","19,208","1,535",253,126,-11,211,"2,566",266,199,N
E8,1,"107,195","133,960","23,324","1,555",278,190,-72,274,47,262,412,N
E9,1,"119,910","165,632","59,997",-22,529,966,-15,324,"17,792",181,"9,583",N
E10,1,"102,378","126,868","37,177","2,375",227,291,13,362,668,758,553,N
E11,1,"99,561","132,792","20,824","1,791",89,576,-1,254,"8,850",108,"1,894",N
E12,1,"122,768","176,596","108,567",-851,549,515,338,980,"33,281",-289,"24,636",N
E13,1,"110,705","159,749","51,121",194,570,724,-157,199,"20,285",24,"10,542",N
E14,1,"75,075","102,474","12,418","1,474",79,131,38,166,287,294,229,N
E15,1,"99,335","122,793","29,163",909,124,219,20,407,"2,802",330,447,N
E16,1,"106,969","131,936","42,300","1,291",327,547,52,527,"9,652",381,601,N
E17,1,"97,034","123,267","24,985","1,621",109,208,78,261,295,170,364,N
E18,1,"77,530","113,466","44,992",490,370,866,330,"1,047","5,562",435,"1,866",N
E19,1,"96,697","119,883","48,257",632,834,531,138,939,"7,392",475,"1,247",N
E20,1,"99,102","139,309","26,084","1,162",492,516,131,29,"11,869",235,"7,102",N
E21,1,"67,782","116,032","41,780",139,358,363,11,627,"12,016",235,"3,693",N
E22,1,"107,395","130,145","26,738","1,404",101,224,159,275,"1,296",324,330,N
E23,1,"145,806","185,315","107,640",-44,"1,206",914,495,"1,506","16,068",267,"9,929",N
E24,1,"99,331","125,591","33,627",419,662,385,0,577,"9,075",293,534,N
F1,1,"91,084","116,494","27,354","1,098",155,541,11,549,"3,152",285,635,N
F2,1,"99,724","130,023","24,876","1,178",456,795,-20,398,"10,249",321,530,N
F3,1,"118,818","145,104","42,707","4,999",508,857,-109,307,"7,389",443,"5,677",N
F4,1,"61,767","101,139","12,668",461,335,397,34,501,"5,009",200,869,N
F5,1,"94,228","132,697","45,056","3,366",352,"2,286",-16,826,"6,145",309,846,N
F6,1,"85,912","118,007","59,342",187,113,790,239,"1,343","17,864",375,"4,706",N
F7,1,"90,672","121,836","23,117","1,569",265,652,0,147,"14,824",570,"3,283",N
F8,1,"108,950","140,268","35,037","3,177",642,643,-16,356,"19,131",166,458,N
F9,1,"104,963","133,156","15,574","2,225",315,301,-56,48,"7,349",226,"2,815",N
F10,1,"106,636","152,774","28,524",738,664,696,5,475,"12,324",-87,"5,939",N
F11,1,"104,914","152,959","57,738","7,236",552,"1,070",-67,729,"17,060",400,"1,409",Y
F12,1,"101,731","135,369","16,125","2,295",-63,393,80,186,"10,935",160,"3,083",N
F13,1,"97,283","145,854","33,752","4,377",172,311,-65,351,"4,123",213,469,N
F14,1,"106,188","136,873","28,074","1,449",196,437,-13,180,"3,864",420,"4,731",N
F15,1,"98,661","136,316","25,994","2,709",274,491,-120,349,"1,881",307,378,N
F16,1,"105,981","137,763","30,911","1,893",76,335,-13,278,"5,386",251,262,N
F17,1,"81,797","113,937","20,966","1,444",328,236,66,450,587,375,589,N
F18,1,"123,369","168,016","35,310",437,204,408,131,185,"18,146",110,"1,462",N
F19,1,"135,265","163,846","25,928","1,182",133,187,3,213,566,180,325,N
F20,1,"95,684","132,495","36,724","1,210",88,301,5,420,325,280,591,N
F21,1,"115,929","146,261","20,555","1,865",120,178,127,181,259,548,258,N
F22,1,"98,840","128,968","31,641","1,465",415,486,307,181,"13,732",196,"7,015",N
F23,1,"112,256","150,127","36,172","6,167",181,252,88,470,307,257,744,N
F24,1,"100,418","125,054","23,055","1,128",553,248,-96,109,"5,677",42,"4,185",N
G1,1,"117,583","144,859","28,949","2,639",716,403,25,238,"10,153",456,"3,216",Y
G2,1,"137,369","180,136","102,916","6,130",471,"1,807",600,"1,738","10,145",639,"2,358",N
G3,1,"117,970","147,914","32,316","2,704",302,211,-81,379,918,473,643,N
G4,1,"128,551","178,565","66,991","3,803",77,"1,342",173,580,"37,350",475,"12,258",N
G5,1,"87,810","118,244","20,186","1,875",82,147,30,263,247,137,273,N
G6,1,"86,237","117,995","21,079","1,990",69,132,-59,179,"1,055",217,198,N
G7,1,"89,694","117,554","20,560","1,840",219,192,24,184,"1,756",705,273,N
G8,1,"100,579","134,371","52,804",435,769,336,323,513,"16,903",-213,"18,088",N
G9,1,"90,677","124,146","23,197","1,534",551,533,139,264,"13,801",215,"2,955",N
G10,1,"145,583","191,647","40,101","2,186",-81,668,128,478,"26,991",273,"4,769",N
G11,1,"77,120","107,286","14,248","2,103",20,71,-8,151,66,285,178,N
G12,1,"70,150","124,590","41,706",-40,480,742,61,705,"12,757",152,"1,096",N
G13,1,"71,730","104,509","13,914","1,071",55,61,-8,143,602,291,144,N
G14,1,"110,380","129,296","49,682","1,599",425,552,163,687,"4,760",714,"3,372",N
G15,1,"126,399","161,652","97,704",438,"1,569","1,087",45,"1,132","24,931",580,"11,562",N
G16,1,"100,771","147,658","27,425","2,783",306,591,69,444,"1,300",294,"1,585",N
G17,1,"87,324","111,792","20,822","1,249",216,388,11,537,937,293,743,N
G18,1,"85,128","111,572","26,006","1,809",27,233,72,379,591,208,479,N
G19,1,"68,858","113,339","20,233",839,275,186,17,254,"1,462",145,374,N
G20,1,"105,938","131,166","23,278","1,979",142,124,80,150,397,301,240,N
G21,1,"108,286","133,145","33,678","1,966",64,427,55,433,"1,976",555,432,N
G22,1,"96,872","124,881","32,252","2,143",419,"1,005",38,490,"3,315",274,428,N
G23,1,"124,583","151,194","34,130","1,151",352,987,304,407,"6,942",183,"3,950",N
G24,1,"125,911","149,239","48,090",155,388,357,195,535,"10,301",52,"4,695",N
H1,1,"99,039","129,290","20,610","2,464",-27,114,15,179,493,292,146,N
H2,1,"141,535","172,087","31,129","4,220",322,522,68,397,"2,820",747,614,N
H3,1,"89,026","116,378","23,263",181,381,658,117,952,"1,610",520,"1,379",N
H4,1,"98,287","129,342","16,810","1,621",578,642,-17,195,"8,375",112,"1,245",N
H5,1,"101,455","139,664","37,174",996,291,902,-91,403,"7,590",43,"7,057",N
H6,1,"91,186","113,939","21,121","1,592",65,241,-88,242,"3,302",220,417,N
H7,1,"91,746","127,579","32,167","3,560",311,283,20,399,"5,090",169,608,N
H8,1,"100,672","132,164","27,308","1,535",39,574,94,-56,"17,018",9,"9,035",N
H9,1,"107,320","141,504","21,643","2,001",330,421,117,134,"7,499",332,"2,589",N
H10,1,"123,843","158,222","91,550","1,759",353,"1,065",373,"1,673","11,000",576,"2,545",N
H11,1,"78,653","109,446","15,165","1,652",135,117,25,132,254,355,193,N
H12,1,"107,841","135,348","25,636","2,149",491,450,143,529,"5,469",663,432,N
H13,1,"97,843","126,664","21,287","2,901",143,180,44,226,"1,749",335,299,N
H14,1,"91,702","119,628","20,088","1,723",325,145,31,209,"5,690",296,287,N
H15,1,"100,181","130,943","22,334",381,174,540,135,847,"1,277",157,"1,061",N
H16,1,"146,460","184,997","31,436",750,560,692,177,319,"13,888",274,"1,706",N
H17,1,"83,057","115,567","18,155","1,748",60,213,4,243,"1,511",234,219,N
H18,1,"104,030","128,054","31,552","1,813",135,157,1,263,801,330,293,N
H19,1,"99,645","133,578","43,436","4,912",455,410,96,375,"2,544",815,666,N
H20,1,"82,032","127,498","21,573","2,260",517,573,-73,175,"18,086",369,"1,001",N
H21,1,"117,003","139,333","31,599","2,424",256,283,-31,205,"2,702",171,227,N
H22,1,"106,251","135,701","25,470",738,251,144,49,357,0,392,291,N
H23,1,"93,910","126,014","41,087","1,963",716,621,56,632,"13,297",301,"3,335",N
H24,1,"108,577","143,231","25,579","2,566",678,53,167,182,61,248,231,N
I1,1,"90,981","123,144","27,068","1,089",432,302,-106,471,"4,746",335,544,N
I2,1,"94,091","134,190","38,586","1,469",481,932,28,815,"8,573",314,"1,124",N
I3,1,"112,206","138,492","32,997","2,792",139,"1,628",223,434,"8,789",809,442,N
I4,1,"93,254","123,330","33,082",540,90,395,-42,552,"11,311",248,976,N
I5,1,"90,293","123,796","16,636","2,365",399,508,-201,153,"10,917",274,45,Y
I6,1,"116,161","140,490","35,565","1,670",538,695,-98,335,"10,222",279,"1,740",N
I7,1,"92,902","119,270","29,512","2,393",305,222,-85,289,"3,910",298,319,N
I8,1,"103,915","129,255","22,760","3,899",149,358,59,379,"6,131",202,320,N
I9,1,"64,918","103,244","23,974",742,336,354,25,495,"2,316",289,772,N
I10,1,"82,707","117,584","16,559",247,241,390,72,189,"2,062",378,242,N
I11,1,"162,147","203,760","37,830","5,515",566,"1,159",9,252,"9,567",801,308,Y
I12,1,"84,760","115,752","23,143","1,359",105,194,119,402,131,229,456,N
I13,1,"94,660","145,499","42,448","3,077",307,408,61,244,"14,546",218,"5,716",N
I14,1,"65,323","110,435","23,339",316,229,199,-47,253,"1,606",155,257,N
I15,1,"125,575","157,004","61,753","3,298",130,"1,009",175,864,"12,796",289,"2,626",N
I16,1,"159,266","194,744","40,957","3,655",388,571,73,219,"10,439",695,"6,149",N
I17,1,"146,307","197,000","33,810","2,797",247,328,43,573,128,341,642,N
I18,1,"128,714","159,843","28,815","3,127",106,171,23,333,738,488,285,N
I19,1,"87,783","120,800","28,767",885,696,428,187,386,"13,146",276,"3,775",N
I20,1,"115,819","149,475","26,972","1,441",181,433,182,202,"13,182",130,"4,358",N
I21,1,"93,386","121,506","30,123",137,443,452,83,856,"4,005",394,973,N
I22,1,"67,734","108,890","24,398",561,407,260,-46,259,"2,802",471,308,N
I23,1,"114,381","136,369","31,518","1,735",-45,242,-77,371,"7,853",206,343,N
I24,1,"87,771","129,835","37,273","1,473",329,337,269,409,"8,247",250,"3,149",N
J1,1,"108,881","141,625","37,904",318,547,621,-3,186,"8,895",-15,"5,003",N
J2,1,"79,118","116,361","15,756","1,973",10,87,2,164,133,212,211,N
J3,1,"91,618","140,457","36,025","1,988",-113,377,205,267,"16,681",258,"5,207",N
J4,1,"83,554","109,531","14,279","1,612",137,148,69,158,"1,407",174,239,N
J5,1,"104,950","131,841","30,226","2,022",49,156,-5,264,337,284,214,N
J6,1,"77,178","134,778","56,095",-308,645,778,-43,"1,017","14,081",424,"5,624",N
J7,1,"89,338","116,882","31,168",579,100,410,32,633,"1,573",296,821,N
J8,1,"85,474","109,653","20,191","2,823",127,159,39,145,"2,123",444,84,N
J9,1,"119,623","151,449","29,277",369,534,497,-204,157,"17,846",-143,"7,955",N
J10,1,"129,247","175,792","76,714","4,707",383,"1,711",-25,"1,258","13,751",286,"1,234",Y
J11,1,"105,080","126,191","28,428","1,039",109,577,88,318,"10,066",234,"1,127",N
J12,1,"97,532","154,493","51,373",357,813,650,-53,714,"8,243",8,"11,114",N
J13,1,"73,294","106,708","14,593",697,47,159,56,238,"1,041",196,305,N
J14,1,"68,955","100,915","24,179",363,156,403,-18,501,"6,440",245,781,N
J15,1,"114,107","146,685","43,693","2,543",290,326,-70,428,"1,519",582,556,N
J16,1,"69,012","117,416","50,950",649,324,"1,056",20,904,"5,910",387,930,N
J17,1,"90,240","112,777","21,617","2,331",-59,281,14,273,"3,591",83,375,N
J18,1,"113,396","144,374","30,567","2,913",206,221,19,446,417,229,491,N
J19,1,"94,521","123,683","27,791","2,670",712,474,-66,614,"5,969",405,554,Y
J20,1,"93,618","120,630","24,411","1,641",358,494,29,235,"2,853",224,283,N
J21,1,"77,938","109,926","18,449","1,147",77,91,15,155,143,246,201,N
J22,1,"138,343","183,516","60,599","5,996","1,428","1,114",165,429,"26,460",193,"11,062",N
J24,1,"108,257","130,290","24,826","2,778",200,254,-35,330,"2,304",237,545,N
K1,1,"122,580","155,644","26,104","2,210",408,627,-38,314,"4,987",256,322,N
K2,1,"127,669","175,924","94,343",-128,"2,196",169,602,111,"36,029",306,"35,813",N
K3,1,"76,195","105,899","14,746","1,664",477,321,-112,310,"4,022",89,343,N
K4,1,"85,357","118,021","17,823","2,029",389,331,-7,160,"6,294",68,"1,535",N
K5,1,"90,741","115,914","19,797","1,132",71,342,21,152,"4,059",517,145,N
K6,1,"105,534","135,335","29,885","2,516",92,204,74,352,"1,097",473,395,N
K7,1,"98,235","121,086","19,367","2,115",463,391,58,181,"7,820",227,"1,531",N
K8,1,"81,860","107,156","30,203","2,536",395,"2,118",-59,477,"7,174","1,225",517,N
K9,1,"96,483","134,033","43,321",581,198,580,-82,529,"20,659",293,876,N
K10,1,"134,668","153,124","43,848","2,318",613,429,38,569,"3,432",829,625,N
K11,1,"90,663","122,368","33,020","2,341",130,290,95,412,"1,432",292,464,N
K12,1,"85,660","125,277","28,408","1,487",324,308,13,439,"1,390",268,545,N
K13,1,"135,720","173,926","60,072","6,007",512,"1,405",44,980,"8,247",830,863,N
K14,1,"82,487","116,526","28,883",440,495,326,217,503,"4,966",215,995,N
K15,1,"92,602","118,051","32,134","1,077",53,256,38,444,33,296,559,N
K16,1,"68,828","122,105","24,309","1,137",361,594,-69,502,"8,799",265,874,N
K17,1,"85,277","147,646","30,842","3,866",90,203,-43,439,104,367,469,N
K18,1,"89,741","119,734","18,363","1,718",-34,415,22,192,"6,217",202,191,N
K19,1,"84,755","115,129","19,036","2,229",70,155,52,203,646,342,283,N
K20,1,"85,303","122,824","24,576",792,160,299,-32,391,"1,888",159,358,N
K21,1,"133,195","166,416","28,548","1,492",487,519,141,409,"16,310",353,"1,251",N
K22,1,"92,228","143,416","36,002",519,712,507,12,326,"20,942",175,"7,544",N
K23,1,"81,075","128,276","35,867","1,702",596,359,75,133,"17,329",173,"7,084",N
K24,1,"73,981","106,117","14,921","1,270",209,108,49,160,90,290,257,N
L1,1,"119,832","174,007","82,167",740,647,709,137,"1,062","13,047",434,"5,328",N
L2,1,"115,164","147,234","50,240","4,979",603,991,-10,519,"16,775",405,"3,413",N
L3,1,"103,217","126,351","20,330","1,336",329,261,180,155,"6,371",155,"1,276",N
L4,1,"89,346","116,464","17,756","1,551",142,177,-44,197,"1,877",270,306,N
L5,1,"81,469","110,372","32,505",703,131,326,67,588,98,293,827,N
L6,1,"85,503","117,573","28,019","1,697",198,273,33,508,550,184,753,N
L7,1,"104,025","146,343","26,530","1,634",153,305,-29,363,"1,200",256,454,N
L8,1,"125,688","159,409","38,966","2,813",743,677,-116,411,"15,898",447,"3,644",N
L9,1,"109,581","134,415","20,461","2,484",495,266,88,22,"15,387",284,"6,281",N
L10,1,"155,635","199,353","63,294","3,414",157,"1,055",270,"1,358","4,474",503,975,N
L11,1,"95,205","121,642","19,800","2,395",77,104,-29,165,279,152,173,N
L12,1,"99,463","134,099","28,880","1,434",683,585,-155,529,"13,833",303,"3,204",N
L13,1,"170,369","203,490","39,628","4,402",323,359,150,475,"1,276",508,601,N
L14,1,"102,342","140,442","27,371","1,526",364,293,101,184,"3,796",228,"3,853",N
L15,1,"93,859","140,974","79,098","1,147",777,833,105,"1,231","18,387",145,"6,874",N
L16,1,"92,506","124,927","24,839","1,577",17,186,-21,286,373,399,265,N
L17,1,"81,758","118,197","23,818","1,683",132,263,24,359,716,238,356,N
L18,1,"101,264","145,342","36,051","2,887",783,973,-69,343,"14,341",307,"2,373",N
L19,1,"93,135","122,319","24,911",-101,381,443,94,465,"6,835",199,657,N
L20,1,"103,756","135,055","20,821","1,067",419,374,-34,152,"10,395",279,342,N
L21,1,"103,045","127,620","20,806",873,416,390,50,195,"14,609",176,"2,023",N
L22,1,"96,276","131,194","25,917","2,106",310,529,164,238,"9,290",122,"7,357",N
L23,1,"123,932","161,690","49,544","1,092",718,590,50,736,"12,102",436,785,N
L24,1,"122,618","174,447","71,095",-235,905,826,122,301,"33,829",75,"17,398",N
M1,1,"84,004","109,404","23,996",407,339,537,63,744,"3,243",268,"1,097",N
M2,1,"96,911","128,262","29,374","1,739",136,438,28,319,"4,335",157,230,N
M3,1,"88,406","116,874","29,406","1,325",331,225,14,377,816,282,546,N
M4,1,"91,726","126,734","18,748","1,341",674,653,228,250,"9,513",258,521,N
M5,1,"68,684","113,506","15,113","1,007",111,133,93,215,830,140,280,N
M6,1,"100,853","143,057","68,017",-189,819,535,786,835,"10,821",-55,"12,265",N
M7,1,"74,346","107,695","20,600",239,260,264,143,576,"2,490",349,625,N
M8,1,"90,975","114,663","28,723","1,122",302,580,288,740,"12,516",211,"1,317",N
M9,1,"99,974","125,739","29,716","2,956",73,123,57,195,119,290,244,N
M10,1,"102,652","148,899","49,083",679,379,815,205,"1,755","5,386",467,"1,674",N
M11,1,"99,258","130,183","18,542","2,466",68,148,164,448,"1,117",307,224,N
M12,1,"86,265","117,905","25,508","1,013",591,647,-93,407,"9,864",314,479,N
M13,1,"67,927","110,573","44,528",372,497,"1,214",94,"1,449","4,917",729,"1,951",N
M14,1,"102,987","144,860","22,313","1,984",7,345,32,381,"1,522",195,476,N
M15,1,"106,721","135,691","30,148","2,897",27,191,-36,372,613,358,386,N
M16,1,"82,137","118,586","30,722","2,763",528,"1,458",121,380,"5,311",500,500,N
M17,1,"98,760","131,134","46,584",403,731,364,171,108,"12,760",337,"16,176",N
M18,1,"126,882","152,595","29,695","3,325",-20,125,-11,169,520,197,406,N
M19,1,"162,854","205,195","42,234","2,285",486,473,245,442,"16,534",449,"3,063",N
M20,1,"86,486","113,267","32,953",-127,388,344,68,348,"15,891",74,"6,573",N
M21,1,"100,002","124,011","36,008","1,244",204,232,-72,364,672,391,413,N
M22,1,"64,072","108,191","42,368",462,370,410,521,972,"1,920",297,530,N
M23,1,"107,257","135,387","25,983","1,363",6,149,80,249,61,262,367,N
M24,1,"124,431","146,003","36,511","4,910",477,"2,266",-51,381,"7,288",585,362,N
N1,1,"98,617","121,773","21,915","3,747",-37,142,22,215,106,353,279,N
N2,1,"75,703","112,613","17,562","1,547",363,266,160,29,"6,149",18,"2,830",N
N3,1,"93,725","120,276","19,154",745,154,671,54,249,"7,996",146,938,N
N4,1,"113,692","156,387","44,876",-324,826,888,-69,692,"25,610",350,"7,791",N
N5,1,"86,754","124,423","27,305","1,761",165,554,-28,290,"11,889",90,"5,621",N
N6,1,"73,661","115,955","22,223","1,866",204,177,-15,248,267,127,326,N
N7,1,"169,766","173,808","83,339","5,846","1,013","1,073",194,265,"25,913",-86,"22,929",N
N8,1,"99,827","132,399","29,509","1,713",280,413,129,298,"7,422",298,462,N
N9,1,"99,953","143,495","46,616","3,612",352,786,44,865,"6,270",496,842,N
N10,1,"75,510","103,693","26,775",848,57,187,70,290,"1,019",361,448,N
N11,1,"109,667","134,752","25,492","1,287",450,489,185,238,"17,270",262,"3,148",N
N12,1,"99,574","129,932","33,752","2,338",242,204,44,364,692,412,320,N
N13,1,"128,791","146,330","98,507","1,739","1,492","1,753",-38,"1,301","32,125",364,"17,908",N
N14,1,"115,088","141,350","25,407","1,453",159,193,19,268,27,208,362,N
N15,1,"73,393","110,275","17,119","1,673",245,175,7,409,520,181,429,N
N16,1,"104,015","128,657","29,434","1,274",195,491,-104,151,"16,936",67,"5,281",N
N17,1,"91,018","146,397","30,953","2,593",593,602,-98,333,"10,644",207,"2,942",N
N18,1,"93,174","128,363","33,247","1,481",647,687,13,778,"6,154",522,"1,764",N
