Well,Plate,FSC_A,FSC_W,SSC_A,PVR_PECy7,PLVAP_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony
A1,1,"86,216","127,439","32,041","4,392",275,"1,761",357,587,"5,944",680,806,N
A2,1,"67,089","105,620","22,924",207,628,478,56,659,"7,498",301,950,N
A3,1,"86,132","124,762","26,518",50,437,649,187,643,"7,296",192,"1,162",N
A4,1,"62,462","125,027","19,562",-25,340,311,54,-59,"10,178",236,"5,448",N
A5,1,"114,479","145,312","35,261","5,431",161,276,141,534,526,681,580,N
A6,1,"93,689","132,593","22,346",-499,403,476,181,262,"18,463",260,"1,276",N
A7,1,"88,408","130,738","15,137",679,597,66,110,-20,"11,715",287,"3,093",N
A8,1,"120,543","141,685","47,942","2,981","1,112","1,170",149,"1,129","22,023",571,"3,476",N
A9,1,"82,528","122,936","16,145","1,459",659,327,88,159,"9,509",277,"1,838",N
A10,1,"92,957","125,276","20,860","2,589",381,349,-8,362,"4,562",393,523,N
A11,1,"104,370","142,434","26,809","1,006",209,845,85,519,"2,486",251,"2,201",N
A12,1,"83,679","116,889","15,765",743,510,674,231,89,"15,667",205,79,N
A13,1,"72,685","112,812","18,063",559,569,599,75,137,"17,031",408,"4,147",N
A14,1,"101,486","127,881","17,664","1,760",526,393,54,158,"10,283",210,"1,842",N
A15,1,"94,562","138,414","24,874","1,948",258,195,256,188,"4,754",479,285,N
A16,1,"75,564","132,099","15,818",989,-31,381,-32,217,567,715,"1,389",N
A17,1,"129,729","163,876","54,421","1,129","1,244",822,97,395,"19,352",542,"4,833",N
A18,1,"117,114","146,136","43,296","2,935",230,"1,783",110,445,"11,353",711,507,Y
A19,1,"84,745","118,609","17,450","1,434",247,186,105,240,"1,481",278,429,N
A20,1,"109,785","144,186","39,327","1,875",816,999,168,327,"13,664",295,319,N
A21,1,"81,886","112,072","17,127","1,646",419,412,-184,199,"4,656",151,"1,913",N
A22,1,"110,917","162,983","76,689","-3,169",306,618,-9,150,"43,193",290,"15,514",N
A23,1,"105,026","149,335","23,841","3,116",826,253,247,248,"9,032",645,"5,454",Y
