Well,Plate,FSC_A,FSC_W,SSC_A,PVR_PECy7,PLVAP_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony
D1,1,"100,826","133,694","19,106",712,656,548,-19,154,"11,478",276,"3,171",N
D2,1,"117,765","154,984","49,318","3,711",415,"3,357",260,"1,158","6,113","1,492","1,258",N
D3,1,"116,246","139,991","47,032","2,049","1,681",664,286,740,"18,175",783,"1,780",N
D4,1,"101,550","140,758","26,757","1,254",115,516,62,16,"12,846",179,"4,803",N
D5,1,"128,225","177,555","22,937","1,421",559,684,11,194,"24,926",250,"5,067",N
D6,1,"71,211","108,257","13,641",771,410,240,180,290,"5,500",230,503,N
D7,1,"90,390","134,238","21,062",163,379,431,156,164,"12,543",455,"3,503",N
D8,1,"73,116","123,140","61,227",63,712,"1,426",37,"1,035","4,867",540,782,N
D9,1,"83,561","115,953","14,013",817,109,259,36,121,"13,059",246,385,N
D10,1,"82,537","128,225","44,590",982,"1,085",514,-169,587,"18,304",282,"3,241",N
D11,1,"114,215","170,802","92,414","1,929",894,"1,007",438,"1,448","17,495",818,"4,407",N
D12,1,"101,803","146,349","25,000","2,386",740,759,-77,309,"12,212",534,382,N
D13,1,"98,747","147,119","19,577","1,499",355,229,-38,317,"2,321",362,365,N
D14,1,"161,989","198,413","44,777","1,898","1,575",952,44,530,"22,596",599,"5,177",N
D15,1,"81,776","117,675","16,210","2,175",288,245,93,132,"7,219",225,"2,038",N
D16,1,"107,745","162,538","27,238","1,919",762,764,145,227,"9,011",440,"1,346",N
D17,1,"103,508","137,019","20,219","1,547",331,362,-90,190,"10,241",177,"1,468",N
D18,1,"109,824","155,933","27,375","3,959",-70,457,362,351,"4,294",721,"1,062",N
D19,1,"83,597","131,694","30,834",413,"1,324",529,166,249,"19,474",250,"3,694",N
D20,1,"81,002","110,493","15,282","1,738",131,99,-76,228,291,256,255,N
D21,1,"104,368","137,934","19,192",961,430,816,-145,359,"12,046",511,"1,122",N
D22,1,"90,405","131,067","22,857","2,578",407,498,128,241,"10,143",267,203,N
D23,1,"103,338","135,491","21,364",788,614,511,-73,113,"14,243",492,"3,590",N
D24,1,"87,249","125,176","20,650","2,859",27,424,-5,203,"1,827",366,272,Y
E1,1,"102,392","152,459","41,439","3,570",872,897,37,484,"16,887",506,"2,085",N
E2,1,"74,638","113,618","19,642",521,452,"1,013",72,"1,070","2,406",354,"1,512",N
E3,1,"82,609","113,832","51,283",392,445,892,436,"1,705","4,598",785,"2,055",N
E4,1,"106,397","136,739","24,908","1,308",730,244,-179,145,"15,419",330,"3,231",N
E5,1,"86,497","112,940","16,277","1,623",578,353,-48,204,"3,822",331,206,N
E6,1,"83,806","127,394","15,588",881,224,469,99,258,"9,477",527,787,Y
E7,1,"99,489","138,252","24,142","1,536",736,814,210,176,"10,109",305,"1,364",N
E8,1,"112,940","144,144","30,039","1,907",105,232,52,307,89,604,438,N
E9,1,"93,637","120,389","17,526","1,957",85,97,138,172,"1,436",306,184,N
E10,1,"99,521","146,999","36,179","3,328",64,145,64,232,872,649,351,N
E11,1,"99,936","136,705","16,963",385,829,481,-23,341,"10,777",110,"3,362",N
E12,1,"96,527","131,288","34,148",-297,297,742,29,270,"16,238",169,"5,884",N
E13,1,"93,310","120,226","21,114","1,337",215,215,104,201,"2,180",272,329,N
E14,1,"76,107","141,260","36,943",-28,453,366,-33,57,"24,136",179,"8,981",N
E15,1,"67,042","121,184","26,499",-770,391,269,-155,323,"10,791",163,588,N
E16,1,"85,705","145,464","75,585",-24,832,"1,432",369,"1,724","13,337",768,"1,958",N
E17,1,"89,537","147,031","28,978","4,351",305,333,22,229,"2,528",726,"3,834",N
E18,1,"85,254","122,588","32,277",964,601,483,25,484,"3,876",412,806,N
E19,1,"125,118","148,149","30,786","1,778",594,364,-4,337,"10,946",255,"3,877",N
E20,1,"87,766","130,677","13,329",579,202,195,-27,250,428,183,414,N
E21,1,"112,424","159,806","24,373",878,228,882,194,287,"14,336",402,"3,818",N
E22,1,"65,586","95,761","9,420",440,52,78,61,98,81,217,153,N
E23,1,"108,228","139,584","27,432",-438,229,556,38,305,"18,785",205,"3,962",N
E24,1,"98,091","126,483","19,797","1,775",505,501,21,436,"4,443",344,528,N
F1,1,"94,667","125,882","32,515","4,363",200,484,61,370,"5,922",360,465,N
F2,1,"82,246","112,181","39,275",-952,837,319,548,556,"18,173",181,"13,701",N
F3,1,"132,963","159,311","39,982",345,540,"1,124",227,500,"10,932",307,"3,476",N
F4,1,"77,091","110,611","62,204",-838,206,419,189,556,"22,207",522,"11,819",N
F5,1,"108,716","134,063","20,372",-418,599,361,260,-41,"23,577",33,"6,590",N
F6,1,"76,742","112,496","16,440","1,922",140,126,32,243,502,443,316,N
F7,1,"89,063","125,859","21,918",-195,664,681,76,381,"20,434",469,"1,679",N
F8,1,"93,328","122,012","19,218","3,050",146,153,121,186,179,415,390,N
F9,1,"139,175","168,607","47,441",-963,275,627,15,455,"29,458",308,"4,249",N
F10,1,"72,560","106,791","29,521",537,"1,245",721,553,"1,342","4,292",767,974,N
F11,1,"88,028","146,954","70,559",-638,"1,068",789,122,"1,856","16,667",563,"2,921",N
F12,1,"71,712","106,316","13,581","1,210",620,143,10,113,"10,467",401,115,N
F13,1,"97,217","136,633","31,702",-785,"1,181",168,79,-44,"18,394",-185,"13,272",N
F14,1,"140,000","180,956","38,480",-229,"1,194",952,62,365,"26,478",632,"3,705",N
F15,1,"99,343","143,742","57,777","-1,431","1,241","1,045",47,922,"30,946",221,"8,806",N
F16,1,"128,009","166,505","60,512","-1,043","1,395",759,307,628,"25,306",556,"9,200",N
F17,1,"91,769","137,861","45,797",-632,642,511,11,677,"17,041",185,"3,423",N
F18,1,"114,616","164,549","39,877",529,720,997,25,597,"6,370",286,"4,376",N
F19,1,"102,747","139,818","23,705","2,967",838,394,-81,199,"17,157",350,"5,701",N
F20,1,"91,852","119,132","17,077",735,9,158,63,284,73,259,338,N
F21,1,"97,366","140,398","24,206","1,539",433,319,14,73,"4,585",482,"4,277",N
F22,1,"79,437","112,369","16,352",928,75,139,123,198,794,187,199,N
F23,1,"74,790","109,986","14,854","1,387",138,104,18,143,"2,520",343,156,N
