Well,Plate,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony
M19,1,"102,085","140,592","62,234","2,018",161,699,237,"1,210","1,389",326,"5,702",N
M20,1,"94,818","132,959","59,521","2,163",131,853,108,"1,201","3,031",566,"1,026",N
M21,1,"85,168","130,887","36,057","2,800",107,660,-80,472,"1,533",112,"4,223",N
M22,1,"109,283","130,352","38,830",883,76,753,107,967,"3,785",310,"1,634",N
M23,1,"55,559","125,526","44,400",558,260,"1,281",141,"1,559","3,073",379,"3,228",N
M24,1,"100,065","126,546","43,865","1,282",122,907,81,"1,202","1,719",369,"7,023",N
N1,1,"97,609","128,112","45,693",713,117,406,-124,480,"2,858",155,845,N
N2,1,"72,905","125,741","36,641",321,167,513,112,936,"3,252",358,"1,041",N
N3,1,"129,902","170,024","57,583","3,098",182,709,51,993,"1,123",375,"3,830",N
N4,1,"91,724","142,264","41,790","2,595",236,379,-41,669,"2,310",427,"5,772",N
N5,1,"182,351","205,912","95,091","11,740",385,"1,266",254,"2,239","3,271",748,"17,168",N
N6,1,"90,201","137,042","72,300","3,234",503,686,"1,284",892,"1,751",437,"2,248",N
N7,1,"91,157","131,781","84,503",281,216,620,465,966,"11,783",278,"7,219",N
N8,1,"96,473","125,200","41,619","3,181",132,643,32,723,911,528,"3,792",Y
N9,1,"83,036","143,072","26,080","4,900",201,225,5,412,"1,561",419,"7,469",Y
N10,1,"93,334","129,867","24,830","1,439",13,405,2,377,442,"1,249","2,869",N
N11,1,"108,035","132,583","31,339","1,802",188,673,147,744,"1,324",224,"1,002",N
N12,1,"72,804","118,982","36,830",165,165,414,19,636,"4,152",341,641,N
N13,1,"83,292","123,678","53,789",174,94,"1,037",39,"1,117","2,900",218,"1,460",N
N14,1,"71,213","123,855","46,495",91,152,585,71,676,"2,463",255,"2,462",N
N15,1,"153,621","196,462","70,821","3,960",190,923,198,"1,466","1,018","1,482","1,768",N
N16,1,"124,605","173,537","88,702","5,455",598,"1,244",462,"2,587","2,286","2,241","5,077",N
N17,1,"100,752","148,206","94,484","2,597",597,"1,314",373,"2,785","5,641",408,"7,165",N
N18,1,"109,867","123,028","23,720","4,121",5,348,73,190,"1,675",246,133,N
N19,1,"78,628","136,706","50,743",93,357,957,173,"1,368","7,090",260,"10,213",N
N20,1,"144,065","176,869","44,732","1,310",255,670,217,829,"1,761",636,"3,534",N
N21,1,"69,958","127,852","55,423",94,226,862,153,"2,184","4,202",44,"7,091",N
N22,1,"77,823","138,573","52,679",595,172,469,-3,"1,088","1,446",397,"2,148",N
N23,1,"56,427","123,995","43,219",-8,159,503,311,"1,490","3,643",-166,"15,489",N
N24,1,"80,203","133,068","37,190","2,519",296,876,-30,"1,108","1,242",800,"1,182",N
O1,1,"101,279","128,862","31,503","1,467",67,751,80,978,"1,536",405,"1,022",N
O2,1,"119,739","142,006","25,148","2,367",135,784,-12,320,"2,456",270,323,N
O3,1,"134,405","190,053","84,077","4,698",627,971,120,"2,078","1,991",800,"4,172",N
O4,1,"111,988","163,782","33,769","3,849",365,612,122,622,"2,639",415,840,Y
O5,1,"125,428","167,210","103,635","1,254",357,"1,031",-32,"1,210","2,749",736,"5,064",N
O6,1,"112,215","167,440","35,633","3,229",340,461,572,960,"2,473",712,"3,034",N
O7,1,"91,295","137,438","43,447","2,193",202,805,86,"1,069","5,329",704,"29,906",N
O8,1,"65,712","128,491","40,528","1,112",200,956,-76,968,"2,456",282,"1,396",N
O9,1,"122,691","166,484","102,652","9,215",550,"1,626",306,"2,123","3,281","1,017","9,246",N
O10,1,"78,345","128,682","51,498",174,64,635,54,"1,299","3,817",190,"13,481",N
O11,1,"105,526","143,267","37,261","2,455",157,589,-21,946,"1,685",305,"2,953",N
O12,1,"61,592","119,763","36,570",441,139,970,-16,953,"2,640",451,"1,143",N
O13,1,"88,501","109,548","23,388","3,595",56,459,23,360,"3,215",80,463,N
O14,1,"94,640","133,861","51,849","2,539",123,707,145,848,"2,015",683,"1,760",N
O15,1,"77,296","113,305","42,938",119,96,802,245,"1,069","3,694",250,"13,967",N
O16,1,"94,019","134,261","24,881","2,009",296,438,213,515,"3,714",-100,"10,058",N
O17,1,"79,572","123,915","64,692",23,97,779,57,"1,266","5,170",409,"1,840",N
O18,1,"80,719","121,316","40,152",272,203,851,-47,"1,307","4,614",350,"1,955",N
O19,1,"83,992","127,786","34,350",361,258,793,263,639,"4,102",224,735,N
O20,1,"94,001","136,862","32,612","1,028",191,793,53,"1,371","5,308",208,"18,010",N
O21,1,"108,616","143,415","38,665","3,362",22,872,131,445,930,"1,141","1,971",N
O22,1,"118,243","148,791","33,751","3,825",92,425,-46,425,690,679,"5,615",N
O23,1,"126,530","166,024","94,336","4,101",251,"2,021",183,"2,063","3,108",743,"2,432",N
O24,1,"105,874","145,049","71,355",121,189,654,6,"1,226","3,826",500,"4,531",N
P1,1,"77,916","125,262","38,942",317,268,629,71,"1,132","4,314",421,"3,752",N
P2,1,"114,573","136,429","25,103","3,864",138,464,200,403,"1,093",339,"4,698",N
P3,1,"152,766","174,180","66,655","1,284",101,896,38,"1,043","4,754",543,847,N
P4,1,"85,244","118,939","37,985","1,772",278,641,191,"1,351","3,168",784,"6,174",N
P5,1,"82,309","120,450","49,126",175,240,713,187,"1,570","4,079",62,"13,139",N
P6,1,"86,306","113,406","41,545",-166,4,404,109,910,"11,550",101,"10,166",N
P7,1,"104,713","142,588","41,880","5,102",233,862,262,826,"1,023","1,530","1,905",N
P8,1,"71,504","123,747","32,338","1,182",109,655,-58,509,"2,171",71,"9,152",N
P9,1,"90,693","131,134","51,079",811,167,720,7,651,"5,006",314,"15,158",N
P10,1,"153,850","180,830","70,487","3,752",311,"2,466",148,"1,384","7,096",493,"1,265",N
P11,1,"86,588","127,663","46,305",468,80,631,24,734,"3,875",365,"10,193",N
P12,1,"86,405","137,763","48,720","4,278",436,808,145,"1,396",861,392,"3,445",N
P13,1,"83,541","131,644","29,181","1,156",68,604,42,509,"3,418",288,"2,980",N
P14,1,"96,065","144,632","63,073",943,466,"1,222",80,"1,737","5,597",643,"8,108",N
P15,1,"98,522","131,014","75,818",473,138,742,62,"1,692","4,876",337,"9,305",N
P16,1,"85,728","149,023","46,749","5,238",324,702,349,"1,563","1,568","1,161","2,239",N
P17,1,"94,909","135,952","52,153",562,135,"1,052",51,"1,724","3,972",466,"1,861",N
P18,1,"83,290","135,484","43,223","1,203",174,669,-65,694,"1,164",251,"2,701",N
P19,1,"115,126","141,089","34,555","2,538",99,461,168,553,"6,857",406,"11,929",N
P20,1,"90,373","107,905","33,904","1,352",167,825,159,"1,034",546,280,"1,063",N
P21,1,"117,336","145,656","41,901","3,224",114,305,123,340,"1,438",421,"8,116",N
P22,1,"66,773","115,059","36,054","3,208",125,722,185,408,679,932,"1,066",N
P23,1,"137,538","149,241","26,309","3,600",10,497,181,409,885,293,"2,082",N
P24,1,"76,093","127,524","44,796","3,425",80,299,56,569,"1,382",670,"3,850",N
A1,2,"77,584","139,516","39,841",177,186,282,-36,360,"3,423",158,501,N
A2,2,"78,490","129,355","44,091","2,388",332,814,260,"1,954",686,597,"2,055",N
A3,2,"95,428","125,600","61,884",-229,253,781,191,"1,882","4,026",100,"8,555",N
A4,2,"100,023","133,570","50,784","1,055",189,554,31,916,"4,738",136,"10,672",N
A5,2,"91,370","126,189","58,827",-252,189,543,207,"1,334","4,804",-15,"17,493",N
A6,2,"72,783","125,652","60,140","3,231",171,466,126,"1,106","1,109",651,"4,866",N
A7,2,"80,076","130,977","56,618","2,273",245,715,104,"1,601","3,770",461,"4,905",N
A8,2,"86,191","123,117","55,947","5,677",493,931,346,"1,316","3,202",542,"4,354",N
A9,2,"108,725","153,380","32,825","2,851",124,855,71,950,"3,912",795,"4,946",N
A10,2,"103,544","150,406","33,600","3,240",272,928,184,"1,094",822,424,"4,122",N
A11,2,"96,122","147,750","58,093","4,255",614,"1,144",144,"1,905",794,"1,641","3,699",N
A12,2,"75,875","115,532","41,122",679,211,612,120,946,"3,231",171,"8,222",N
A13,2,"75,518","116,645","60,616",48,188,601,260,"1,598","3,341",401,"10,290",N
A14,2,"74,226","116,898","65,655",684,700,"1,194",259,"2,303","4,113",16,"11,322",N
A15,2,"105,288","135,305","69,768",179,175,922,278,"2,243","4,642",127,"16,036",N
A16,2,"49,621","96,725","29,743",91,88,324,574,527,-35,241,582,N
A17,2,"84,270","137,282","54,581","4,745",545,"1,329",520,"2,403","1,431",569,"3,135",N
A18,2,"73,861","130,480","63,594","3,299",460,851,48,"1,227","1,504",777,"5,888",N
A19,2,"94,092","138,611","53,471",555,239,421,188,679,"3,639",254,"2,215",N
A20,2,"63,400","106,702","32,668",289,263,297,991,"1,524",178,159,"1,021",N
A21,2,"77,153","133,321","55,839",157,336,813,263,"2,130","4,172",315,"8,950",N
A22,2,"71,722","118,826","35,609",9,158,700,48,"1,066","2,679",431,"1,649",N
A23,2,"71,322","110,251","32,167",179,195,493,205,798,"12,651",205,"4,463",N
A24,2,"114,254","145,292","65,433","2,887",319,"1,361",124,"2,511","4,518",201,"9,679",N
B1,2,"101,847","126,971","26,398","1,625",139,653,68,523,"4,685",-43,"12,115",N
B2,2,"123,908","147,374","35,019","3,537",199,439,46,659,"2,211",827,"3,664",N
B3,2,"104,262","120,302","28,251","2,939",147,320,96,372,"2,121",221,"5,123",N
B4,2,"99,456","131,022","61,940","2,751",317,834,214,"1,481","2,915","1,050","5,952",N
B5,2,"78,961","109,475","18,132",806,70,278,94,212,"4,634",67,785,N
B6,2,"90,199","150,258","53,599","4,857",356,753,108,974,"1,955","1,054","5,725",N
B7,2,"73,966","119,623","37,861","2,290",56,813,128,839,"1,648",369,707,N
B8,2,"94,637","123,378","42,434",150,178,"1,041",102,812,"2,405",362,"1,646",N
B9,2,"70,218","112,187","43,510",328,200,903,-6,865,"2,897",334,"2,585",N
B10,2,"83,598","136,680","60,153",776,152,635,"3,306","1,815","1,724",383,660,N
B11,2,"110,146","129,251","27,237","3,234",195,329,3,510,406,"1,104","3,869",N
B12,2,"96,841","124,743","34,070",997,234,705,77,"1,590","3,431",297,"1,722",N
B13,2,"94,617","138,029","59,451","1,856",191,722,237,"1,317","8,477",577,"22,729",N
B14,2,"125,288","143,590","42,040",443,271,"1,042",183,"1,370","2,427",383,"2,469",N
B15,2,"93,839","123,169","24,176","2,389",14,303,33,274,945,860,"1,930",Y
B16,2,"101,459","142,209","44,819","4,215",218,"1,046",215,"1,127","4,420",654,"14,981",N
B17,2,"86,880","150,358","57,559","2,233",242,"1,193",24,"1,233","11,115",362,"19,543",N
B18,2,"173,688","198,307","58,317","1,262",232,601,3,757,"1,667",437,"1,425",N
B19,2,"73,853","101,585","33,867",40,-5,610,143,"1,339","3,077",149,"1,111",N
B20,2,"80,723","133,078","52,893",306,18,350,-2,713,"4,176",490,"4,892",N
B21,2,"95,012","126,683","30,370","2,169",68,418,73,370,"4,239",338,"10,119",N
B22,2,"92,750","140,170","40,684",546,97,474,17,980,"4,885",596,"10,172",N
B23,2,"70,714","126,742","36,037","3,180",70,"1,087",115,586,599,309,680,N
B24,2,"122,780","153,724","51,449","3,729",88,785,2,927,546,654,958,N
C1,2,"155,185","186,890","49,997","4,926",98,788,-52,763,"4,514",419,"4,232",N
C2,2,"81,049","126,534","61,006",-42,291,849,348,"1,884","4,150",368,"5,834",N
C3,2,"82,700","115,127","41,814",74,414,838,131,"1,441","6,202",318,"1,765",N
C4,2,"91,200","138,002","24,769","3,063",108,560,81,636,600,373,"3,530",N
C5,2,"104,131","153,304","78,046","4,922",135,871,-3,"1,179","5,328",493,"4,237",N
C6,2,"113,576","146,094","44,003",-41,140,913,187,"1,086","3,473",368,"2,123",N
C7,2,"83,752","130,591","36,195","4,527",159,487,177,358,"1,683",504,"5,374",N
C8,2,"94,111","129,690","36,988",645,557,"2,105",259,"1,700","1,064",426,"1,572",N
C9,2,"117,570","146,345","30,083","5,935",90,994,173,699,"2,012",829,"2,543",N
C10,2,"94,152","125,505","52,073",488,130,773,"1,080",740,"2,354",310,939,N
C11,2,"59,305","91,423","49,459",241,251,557,"1,433","1,029",227,381,"1,068",N
C12,2,"86,119","138,671","42,318",610,282,489,-93,569,"3,571",333,"8,385",N
C13,2,"78,427","114,198","62,546","1,576",281,888,113,"1,897","3,650",322,"1,573",N
C14,2,"32,048","90,468","17,068",27,74,86,"3,734",169,342,40,249,N
C15,2,"81,160","125,448","36,406",347,-11,229,112,352,"2,439",36,"4,555",N
C16,2,"100,313","139,643","59,160",146,272,849,133,"1,272","6,813",436,"1,294",N
C17,2,"101,427","126,446","32,389","3,744",65,772,127,408,657,"1,263","1,367",N
C18,2,"91,950","127,690","32,467","3,296",239,713,121,823,"1,417",831,"3,355",N
C19,2,"63,634","110,660","30,265",425,216,628,113,"1,500","3,837",329,"7,327",N
C20,2,"95,502","127,549","25,458","1,193",-67,590,161,385,"2,692",415,"10,442",N
C21,2,"108,047","132,737","89,147","1,688",201,777,196,"1,252","2,423",686,"4,281",N
C22,2,"74,093","108,127","13,841","1,688",101,336,53,269,"2,440",181,397,N
C23,2,"162,571","194,492","46,401","5,626",244,747,75,756,"1,440",311,"1,815",N
C24,2,"113,708","156,901","82,737","4,147",387,815,"1,692",813,"1,936",440,"3,698",N
D1,2,"51,145","108,187","39,020",115,152,676,224,989,"2,731",299,"1,176",N
D2,2,"88,650","132,855","25,088","2,047",145,638,229,566,675,317,462,N
D3,2,"123,260","164,731","60,734","5,160",318,920,156,"1,542","1,878","1,095","3,080",N
D4,2,"140,754","173,605","58,357","1,956",96,767,-84,"1,325","3,051",414,"2,248",N
D5,2,"154,435","191,524","58,482","6,131",235,"1,367",245,"1,296","2,001",483,"3,436",N
D6,2,"108,617","134,068","26,678","1,453",398,434,172,601,"4,388",67,"12,880",N
D7,2,"77,353","110,318","31,310",47,121,439,110,567,"4,271",304,"4,913",N
D8,2,"105,550","127,377","42,449","3,184",247,597,445,686,708,435,"1,872",N
D9,2,"79,154","115,099","32,783",461,195,549,-69,385,"2,673",226,"2,268",N
D10,2,"101,405","127,794","30,990",591,107,395,65,335,"2,710",421,"10,913",N
D11,2,"103,223","158,688","57,400","7,938",262,"1,073",156,"1,516","4,265",908,"4,500",N
D12,2,"108,516","168,397","59,933",149,262,490,145,"1,364","4,122",34,"8,254",N
D13,2,"80,596","120,113","41,910",595,-28,481,-163,324,"7,272",351,290,N
D14,2,"78,887","135,772","47,885",529,143,770,75,"1,068","2,931",510,"6,091",N
D15,2,"73,109","121,959","36,827",-246,279,664,338,"1,693","4,788",229,"6,611",N
D16,2,"85,239","119,766","21,942","2,816",149,411,118,551,"2,338",378,"2,967",N
D17,2,"138,300","193,770","66,756","3,756",230,588,225,793,"1,102",619,"6,083",N
D18,2,"56,677","109,460","40,086","1,665",85,724,109,"1,223","1,068",386,"1,152",N
D19,2,"63,475","102,268","51,598",181,49,469,169,651,"1,972",-7,"9,462",N
D20,2,"102,525","137,751","39,811","1,698",85,536,49,655,"2,915",280,"5,710",N
D21,2,"86,055","136,462","72,839","1,799",211,661,74,871,"2,191",408,694,N
D22,2,"138,059","159,476","45,101","6,535",278,987,182,"1,096",831,944,"1,847",N
D23,2,"149,007","169,605","51,397","3,901",297,564,-9,697,"1,096","1,051","4,721",N
D24,2,"88,365","123,947","27,396",696,192,249,-53,340,"2,101",158,"11,130",N
E1,2,"76,798","131,410","26,359",302,237,409,-37,813,"3,466",72,"4,203",N
E2,2,"103,353","130,921","32,753","2,667",0,585,-18,662,"3,543",512,471,N
E3,2,"82,486","133,664","53,091","1,319",167,852,76,679,"4,380",377,"2,443",N
E4,2,"93,445","128,472","37,784",256,-26,524,264,717,"13,227",106,"11,227",N
E5,2,"117,774","159,282","74,763",748,352,"1,084",195,"1,135","10,584",448,"15,111",N
E6,2,"102,720","127,384","56,425","2,355",174,728,128,"1,075",863,706,"3,487",N
E7,2,"97,280","146,465","36,820","2,467",195,500,5,523,"1,153",403,"3,759",N
E8,2,"96,533","128,199","32,533","4,025",144,592,111,666,"1,849","1,106","1,740",N
E9,2,"125,762","182,996","91,209","3,190",208,966,249,"1,595","4,168",991,"8,204",N
E10,2,"105,021","145,890","53,943",686,352,931,131,"1,501","2,324",578,"1,382",N
E11,2,"101,039","159,061","51,340","4,179",145,732,120,918,"2,399",902,"10,853",N
E12,2,"120,246","156,429","95,730",728,213,"1,173",-29,"1,975","9,622",717,"6,795",N
E13,2,"126,747","161,054","74,855","1,590",210,"1,324",-10,"2,481","3,863",672,"4,427",N
E14,2,"94,919","144,370","38,189","8,111",267,807,-18,751,"8,136",627,"3,272",N
E15,2,"82,856","123,963","63,431","1,685",164,"1,003",24,"1,056","2,187",546,"1,185",N
E16,2,"86,657","127,505","51,118","1,520",344,917,129,"1,122","2,461",316,"3,537",N
E17,2,"121,081","176,384","55,911","2,912",104,675,-12,"1,076","1,783",710,"3,306",N
E18,2,"158,199","199,899","129,601","7,662",920,"1,710",500,"3,149","4,073","1,596","9,688",N
E19,2,"46,628","102,576","31,806","2,124",89,319,426,246,"1,151",211,316,N
E20,2,"98,870","139,516","42,798","1,471",276,650,191,"1,066","4,415",344,"21,636",N
E21,2,"71,342","105,287","50,243",200,200,519,263,"1,252","1,925",385,"1,225",N
E22,2,"78,461","116,406","45,804",694,357,886,224,"1,296","18,979",370,"2,038",N
E23,2,"105,466","144,813","53,487",788,492,824,169,"1,680","5,333",364,"21,910",N
E24,2,"72,032","109,569","62,501",455,195,"1,025",96,"2,070","2,047",457,"12,109",N
F1,2,"119,942","153,998","56,383",108,282,483,90,"1,103","5,199",217,"7,421",N
F2,2,"76,288","108,751","26,788",756,835,"1,425",214,"1,372","2,897",251,"1,166",N
F3,2,"144,651","180,844","53,399",973,273,899,138,847,"1,891",450,"3,007",N
F4,2,"106,808","136,275","35,852","2,233",153,539,97,760,"2,201",298,"10,148",N
F5,2,"32,557","77,867","15,372",64,168,233,110,485,-8,190,442,N
F6,2,"74,487","115,966","53,074",389,277,766,158,"1,188","7,257",409,"4,126",N
F7,2,"72,911","132,290","43,851",17,287,584,220,"1,111","5,421",-121,"15,849",N
F8,2,"158,259","180,302","52,203","3,409",97,784,103,735,"1,773","1,192","2,529",N
F9,2,"170,345","217,180","57,698","3,298",269,"1,069",614,"2,173","2,834",582,963,Y
F10,2,"91,461","133,607","53,148",47,226,654,137,"1,416","4,696",109,"4,214",N
F11,2,"101,667","124,446","19,210","2,016",115,373,17,335,654,256,219,N
F12,2,"67,187","122,093","35,916",178,215,641,67,729,"2,588",274,"1,474",N
F13,2,"60,742","112,249","47,221","2,043",396,637,"1,400",759,"2,263",337,960,N
F14,2,"77,632","109,168","20,990",771,66,"1,358",74,630,"1,790",78,"5,988",N
F15,2,"99,361","145,063","56,468",454,69,874,63,"1,381","4,248",254,"11,699",N
F16,2,"74,866","118,668","24,562",452,25,449,-24,784,"2,781",339,"3,328",N
F17,2,"101,145","122,632","27,012","2,310",-40,364,98,424,"2,487",176,"6,069",N
F18,2,"87,752","129,920","23,786",713,173,527,-22,502,"6,219",142,"3,167",N
F19,2,"148,595","163,879","43,461","3,188",141,801,9,"1,018","1,403","1,625","1,049",N
F20,2,"81,948","142,277","26,816",551,185,545,189,738,"3,819",63,"3,525",N
F21,2,"74,848","126,830","51,934",10,129,361,172,861,"5,595",367,"3,289",N
F22,2,"66,675","122,684","49,087",381,240,465,"1,118","2,270",512,350,840,N
F23,2,"84,718","145,781","46,380","2,142",257,554,122,705,"9,720",229,"8,115",N
F24,2,"76,176","128,162","59,274","1,411",240,"1,012",186,"1,550","2,675",498,989,N
G1,2,"35,122","91,485","19,908",434,-11,67,8,85,405,143,392,N
G2,2,"105,402","121,555","28,275","2,422",68,692,26,457,"2,578",592,"1,517",N
G3,2,"92,674","120,000","19,925","3,099",329,585,-44,414,"5,262",359,"1,020",N
G4,2,"84,476","146,275","57,995",438,47,519,-88,736,"3,346",241,"13,694",N
G5,2,"81,668","132,209","52,845",325,44,956,278,"1,833","2,339",160,"13,369",N
G6,2,"76,034","121,128","22,554","3,897",72,414,82,426,"1,112",655,"1,668",N
G7,2,"97,550","128,253","21,694","2,059",34,631,125,586,"2,481",117,"4,851",N
G8,2,"111,115","165,388","87,248","4,163",450,846,134,"1,855","1,334",551,"3,404",N
G9,2,"144,244","156,256","30,301","2,335",71,365,54,356,"1,097",341,"1,738",N
G10,2,"97,538","137,643","32,279","1,064",196,532,78,724,"4,107",239,"4,385",N
G11,2,"95,369","134,018","30,769",71,157,540,30,708,"4,002",204,"2,344",N
G12,2,"98,450","122,003","49,430","1,943",454,"2,086",335,"1,812","2,513","1,692","1,498",N
G13,2,"128,243","145,414","24,845","3,520",58,357,-148,290,318,157,597,N
G14,2,"181,147","211,315","83,579","1,891",427,"1,025",341,"1,312","14,281",590,"1,516",N
G15,2,"147,368","176,304","52,079","3,844",279,579,200,915,"3,390",643,"1,906",N
G16,2,"107,791","131,733","31,092","2,121",152,453,65,650,830,354,"1,300",N
G17,2,"94,225","156,729","39,173",473,286,"1,556",191,"1,884","2,811",400,"3,117",N
G18,2,"95,670","139,233","47,410","2,583",385,883,185,"1,262","4,463",110,"6,359",N
G19,2,"128,395","151,642","91,019",119,342,806,118,"1,670","4,255",507,"12,968",N
G20,2,"107,075","133,383","45,795","1,056",426,912,240,530,"6,567",343,"8,040",N
G21,2,"130,393","168,739","33,549","3,224",124,471,67,684,"3,998",729,"4,222",N
G22,2,"88,208","123,468","67,216","2,392",151,774,45,"1,165","2,299",515,"1,681",N
G23,2,"100,507","136,396","33,318","3,917",61,522,16,531,"1,286",225,534,N
G24,2,"81,827","118,858","32,106",127,205,454,-19,538,"3,962",201,993,N
H1,2,"96,411","146,538","33,966",816,300,515,155,843,"3,642",152,"7,058",N
H2,2,"109,861","147,583","50,568","2,705",292,"1,186",99,"2,098","1,651",983,"2,231",N
H3,2,"69,574","105,853","35,322",-40,245,770,255,"1,752","6,418",157,"2,351",N
H4,2,"92,729","145,789","79,203","2,950",243,920,-30,"1,145",913,656,"6,031",N
H5,2,"75,996","140,803","66,171",68,248,403,85,710,"6,134",196,"8,778",N
H6,2,"96,935","113,840","15,693",745,60,520,41,350,"2,235",205,366,N
H7,2,"47,966","108,738","23,247",99,176,120,861,114,376,117,281,N
H8,2,"120,146","151,631","44,160","2,888",111,"1,436",91,"1,038","1,110",292,"1,413",N
H9,2,"89,962","151,710","52,585",123,221,721,136,"1,305","6,447",-324,"20,294",N
H10,2,"95,886","130,870","82,106",772,388,905,39,"1,205","4,321",539,"1,160",N
H11,2,"97,693","143,186","55,926","4,256",224,674,320,"1,802","2,548",-258,"13,158",N
H12,2,"86,619","128,507","53,151",694,131,786,130,"1,237","4,712",552,"8,958",N
H14,2,"89,769","145,470","70,760",798,332,992,-67,"1,122","32,252",477,"2,273",N
H15,2,"54,686","104,878","34,166",682,138,381,"3,263",418,"4,157",311,395,N
H16,2,"115,791","168,404","56,218",295,187,480,-50,856,"2,307",688,"5,942",N
H17,2,"103,333","144,996","62,336","2,287",247,930,-19,"1,596","2,661",771,"2,684",N
H18,2,"99,434","154,043","74,899","1,847",235,"1,529",178,"2,080","5,984",68,"19,745",N
H19,2,"88,756","123,131","25,131",612,107,302,38,452,"3,772",-226,"16,032",N
H20,2,"147,961","174,941","47,829","5,445",212,"1,079",-13,"1,179","1,362","2,159","2,910",Y
H21,2,"71,042","125,928","52,659",201,216,685,117,"1,054","4,585",440,"1,237",N
H22,2,"88,311","137,940","35,056","1,352",65,433,40,516,"1,190",480,"1,155",Y
H23,2,"80,643","123,318","29,588","1,812",62,499,-9,473,"1,543",512,824,N
H24,2,"104,902","142,733","73,511",246,212,666,133,"1,746","5,458",-117,"30,671",N
I1,2,"85,877","118,274","19,991","1,768",6,390,36,303,"3,414",171,"4,443",N
I2,2,"144,852","165,611","52,380","4,944",230,651,142,"1,105","1,868","1,470","4,018",N
I3,2,"141,917","192,812","123,883","3,678",483,"4,485",196,"1,975","7,992",742,"2,460",N
I4,2,"142,321","195,525","75,143","7,873",250,"1,340",217,"1,847",532,"1,089","6,019",Y
I5,2,"88,950","132,099","41,800",290,90,287,4,314,"5,716",131,"1,901",N
I6,2,"99,923","126,603","47,706","4,119",253,968,228,979,"3,680",368,"2,201",N
I7,2,"162,523","186,744","35,811","2,351",-63,670,-21,345,"1,137",291,"1,052",N
I8,2,"103,792","135,586","33,265","2,486",138,394,-64,687,520,752,"1,211",N
I9,2,"84,909","122,566","50,022","5,651",313,"1,545",280,"1,842","1,265",654,"1,635",N
I10,2,"86,082","134,082","29,981",622,267,927,96,956,"3,684",-41,"7,201",N
I11,2,"77,756","134,405","58,456",926,131,"1,022",163,"1,333","4,122",317,"6,124",N
I12,2,"85,275","123,150","26,259","1,740",94,"1,137",57,746,"3,834",286,"3,389",N
I13,2,"64,373","107,007","28,685",274,92,743,844,632,"3,576",262,"1,390",N
I14,2,"107,774","153,555","82,362",103,296,960,111,"1,775","13,122",528,"7,343",N
I15,2,"78,966","125,846","43,419","2,263",50,479,44,708,"2,036",804,"5,140",N
I16,2,"66,996","107,952","60,920","4,668",97,618,150,812,"1,776",809,"2,278",N
I17,2,"79,931","114,783","62,801","1,819",289,705,791,573,"1,585",363,"5,078",N
I18,2,"89,919","140,141","79,049",37,265,960,"1,852","1,962","4,811",341,"2,458",N
I19,2,"91,884","146,382","74,582","2,326",240,"1,173",420,"2,294","2,436",704,"2,151",N
I20,2,"79,036","99,631","9,957",501,4,533,-9,45,"1,390",78,"2,855",N
I21,2,"106,012","158,907","40,695","5,008",277,551,157,844,"1,821",157,"2,756",N
I22,2,"78,015","120,924","31,622",844,81,642,34,780,"2,364",226,995,N
I23,2,"81,079","116,160","27,281","1,611",333,350,181,"1,462","1,934",244,738,N
I24,2,"47,405","92,848","24,063",153,176,329,233,563,38,205,748,N
J1,2,"78,231","128,364","57,247",510,437,582,132,916,"5,158",560,"4,364",N
J2,2,"82,716","118,549","60,209",172,163,408,134,781,"3,040",172,"7,016",N
J3,2,"76,255","117,289","18,885",982,171,384,-4,721,"3,269",117,708,N
J4,2,"40,370","96,696","19,074",145,-5,200,"10,691","1,077",909,70,273,N
J5,2,"98,353","152,628","55,114",567,98,956,90,828,"3,827",248,"1,028",N
J6,2,"91,877","152,994","59,534","1,077",221,"1,414",197,"1,552","3,544",537,"1,492",N
J7,2,"81,444","131,320","59,918",94,152,437,300,"1,152","1,246",330,968,N
J8,2,"43,085","93,970","31,909",645,13,644,349,"1,389","4,788",140,422,N
J9,2,"90,519","129,953","58,687","4,549",243,"1,080",288,"1,018","4,817","1,427","7,346",N
J10,2,"97,980","130,779","44,323","2,091",63,451,136,752,"1,857",340,"4,584",N
J11,2,"70,746","127,483","40,864",291,126,"1,452",-7,516,"6,016",160,"1,099",N
J12,2,"109,389","150,165","53,555",748,277,"1,030",50,"1,201","3,395",300,"2,325",N
J13,2,"120,416","143,303","73,377","4,151",348,889,119,"1,107","3,541",449,"5,507",N
J14,2,"77,991","99,858","21,505",244,3,430,115,839,"4,370",31,"4,263",N
J15,2,"100,395","157,540","35,488","2,270",223,755,100,"1,221","4,000",54,"16,951",N
J16,2,"86,921","145,895","67,346",842,125,967,86,"1,135","6,607",509,"1,481",N
J17,2,"82,726","146,476","46,265","1,503",222,666,16,948,"4,955",621,"3,989",N
J18,2,"106,145","129,458","81,611","3,301",134,933,"1,281",609,588,493,"3,797",N
J19,2,"83,886","129,803","32,155",991,43,564,85,691,"2,272",45,"20,498",N
J20,2,"118,796","164,617","100,033","3,517",274,"1,317",158,"2,058","2,654","1,074","3,385",N
J21,2,"125,947","167,476","60,704","2,692",121,653,167,"1,093","2,024",423,"7,877",N
