Well,Plate,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony
C23,1,"103,808","119,671","41,181","2,150",-14,325,70,593,186,138,"1,765",N
C24,1,"68,677","113,566","59,889","1,205",430,501,"4,817","1,563","2,341",529,"2,030",N
D1,1,"87,371","137,369","74,026",343,290,896,322,"1,859","5,138",543,"8,223",N
D2,1,"126,511","154,286","39,750","3,131",164,629,-23,531,"1,806",785,"3,251",N
D3,1,"121,473","163,005","48,341",467,31,428,-28,634,"5,375",318,"4,925",N
D4,1,"99,154","133,373","61,113","1,319",298,606,48,793,"6,916",456,"2,311",N
D5,1,"84,160","126,006","33,100",946,38,571,190,654,"12,394",319,"2,388",N
D6,1,"62,118","104,739","46,057",161,277,533,"1,268","1,178","1,797",397,"6,631",N
D7,1,"99,924","136,737","64,838",-311,372,732,213,"1,194","6,132",-117,"18,857",N
D8,1,"114,055","150,819","71,266",418,335,"1,559",-21,"1,805","5,448",154,"6,892",N
D9,1,"88,848","125,709","22,350","4,221",92,425,135,322,"1,084",608,529,N
D10,1,"82,860","115,139","36,629","1,378",155,658,-14,"1,106","1,457",461,937,N
D11,1,"98,440","142,742","50,556","2,842",73,566,130,772,"2,686","1,193","1,991",N
D12,1,"78,176","121,388","32,866",836,43,511,40,628,843,247,"7,509",N
D13,1,"135,349","158,272","67,356","2,832",83,714,35,747,"1,997",532,"1,514",N
D14,1,"98,449","134,542","50,731","1,469",219,"1,245",125,"1,014","4,350",340,"5,506",N
D15,1,"74,308","133,486","56,022",53,219,565,72,"1,001","3,857",342,"5,952",N
D16,1,"88,127","134,290","46,925","1,815",175,480,-40,588,279,553,"4,274",N
D17,1,"99,329","137,415","90,574","1,957",403,"1,113",328,"1,976","7,371",701,"4,435",N
D18,1,"107,429","137,775","57,701","1,652",538,452,93,995,"4,002",-312,"11,901",N
D19,1,"86,014","127,843","39,984",354,73,551,-24,550,"3,511",290,573,N
D20,1,"62,711","116,505","49,968",585,267,394,109,"1,047","2,460",-252,"16,433",N
D21,1,"105,106","134,786","37,957","4,712",205,588,-23,437,"1,839",837,"5,822",N
D22,1,"76,447","122,668","44,249",391,270,876,141,"1,711","8,788",203,"2,388",N
D23,1,"134,939","167,206","121,872","6,623",468,"1,905",498,"3,373","2,741","1,512","3,943",Y
D24,1,"59,842","114,575","38,232",830,41,"1,263",155,"1,510","3,685",431,"1,354",N
E1,1,"138,655","156,814","52,756",778,252,"2,741",217,"2,180","1,040",646,"2,036",N
E2,1,"144,129","199,519","117,991","3,545",585,"1,828","2,122","2,663","6,095","1,425","7,331",N
E3,1,"76,369","138,358","70,153",399,155,985,-6,"2,162","3,847",491,"2,048",N
E4,1,"81,853","133,477","40,910",423,75,498,95,861,"3,604",265,"10,196",N
E5,1,"83,276","126,568","43,091",191,104,438,141,488,"4,922",152,"1,425",N
E6,1,"65,535","117,946","38,340","1,714",233,718,79,628,"2,115",552,"3,449",N
E7,1,"119,772","137,457","39,395","3,516",222,274,-72,502,"1,706",318,"11,632",Y
E8,1,"83,953","119,027","66,012",230,343,939,188,"1,453","3,502",323,"4,473",N
E9,1,"83,360","137,218","49,397",47,239,527,337,766,"3,824",58,"14,710",N
E10,1,"90,104","121,985","64,379",304,9,861,166,"1,105","3,451",337,"1,490",N
E11,1,"76,798","110,163","38,690",376,48,728,195,"1,228","1,566",142,"3,404",N
E12,1,"91,659","126,818","52,271",746,369,"1,233",35,"1,335","7,468",345,"1,584",N
E13,1,"132,107","157,554","110,919","3,580",417,"1,122",999,"1,256","2,489",619,"2,216",N
E14,1,"68,243","115,599","44,803","4,409",158,685,365,"1,430","2,001",424,"2,687",N
E15,1,"80,644","137,852","55,814","4,615",-6,571,9,556,"2,907",418,"2,511",N
E16,1,"69,873","108,927","31,895",388,212,453,63,662,"2,583",240,637,N
E17,1,"83,714","134,658","49,811","1,449",301,714,-15,897,"3,097",198,"4,294",N
E18,1,"81,132","134,767","64,010","1,686",24,515,97,693,"2,527",437,"2,947",N
E19,1,"125,616","157,881","92,193","3,406",489,"1,383",132,"2,104","3,186","1,190","6,458",N
E21,1,"66,831","103,405","20,943",331,237,377,"1,053",647,"11,414",138,"2,662",N
E22,1,"79,020","119,344","25,191",696,133,519,53,858,"3,468",43,"13,928",N
E23,1,"136,442","176,620","37,454","5,178",321,424,111,492,"1,197","1,453","4,574",N
E24,1,"127,862","163,948","65,406","4,555",253,842,271,"1,191","2,499",813,"8,762",N
F1,1,"97,698","129,639","37,720","1,141",8,864,87,947,"4,382",326,"6,579",N
F2,1,"101,848","139,011","37,244",234,60,624,101,858,"2,194",172,"12,218",N
F3,1,"35,199","98,745","19,365",663,228,380,439,340,"3,480",111,529,N
F4,1,"108,268","126,039","30,712","1,676",142,342,57,471,"2,321",521,"4,181",N
F5,1,"179,044","203,911","66,122","2,356",289,897,94,"1,104","1,509",581,"1,163",N
F6,1,"71,169","129,515","36,950",-282,78,197,124,331,"34,263",-74,"3,733",N
F7,1,"115,420","153,691","65,073","4,392",203,551,-28,806,"1,875",570,"1,667",N
F8,1,"78,623","107,932","17,058","1,511",1,335,-69,409,"1,841",-79,"9,949",N
F9,1,"95,169","140,097","45,708","1,457",134,667,38,520,"1,892",387,"1,311",N
F10,1,"93,734","129,762","70,672","3,031",352,920,270,"1,488","2,857",358,"8,015",N
F11,1,"58,010","93,720","13,316","2,957",74,299,156,132,696,321,606,N
F12,1,"121,970","150,484","74,133","2,438",291,"1,120",438,"1,607","2,524",850,"4,660",N
F13,1,"122,181","175,937","46,211","6,679",233,"1,294",236,"1,721","5,628",741,"5,334",N
F14,1,"89,747","127,924","41,618","1,134",150,683,103,"1,080","6,956",335,"9,779",N
F15,1,"97,769","144,174","81,949","3,300",691,938,"4,311","2,523","2,565",665,"5,688",N
F16,1,"124,990","152,650","87,856","2,956",206,"1,467",162,"1,632","4,330",752,"6,516",N
F17,1,"64,981","130,336","31,391",128,127,245,158,701,"2,906",47,"5,630",N
F18,1,"114,017","136,569","16,522","3,117",44,237,45,194,725,162,"5,542",N
F19,1,"72,154","129,501","42,741",913,124,356,121,465,511,269,976,N
F20,1,"86,040","118,830","33,359","2,142",85,285,-85,535,"1,447",331,"8,096",N
F21,1,"102,790","136,884","48,459","1,339",119,558,50,709,"2,684",345,686,N
F22,1,"95,295","129,045","41,811","3,616",198,570,307,803,"3,663",125,"4,871",N
F23,1,"66,529","108,705","32,417",743,229,617,196,766,"1,376",396,940,N
F24,1,"85,614","126,034","32,914",833,380,"1,167",63,"1,331","3,622",36,"11,350",N
G1,1,"91,670","148,408","25,577","2,364",272,665,127,612,"1,758",417,"2,014",N
G2,1,"52,876","93,555","19,489",-47,46,463,-29,288,"4,856",110,359,N
G3,1,"82,932","123,327","22,027","2,784",121,375,88,275,"4,192",261,"1,297",N
G4,1,"64,503","112,717","19,569",447,170,385,52,340,473,203,274,N
G5,1,"87,539","146,115","81,324","2,549",480,"1,005",724,"2,266","2,268",375,"7,446",N
G6,1,"116,141","132,441","25,292","2,594",6,369,166,400,"1,685",511,"1,406",N
G7,1,"88,195","135,248","37,693",661,98,380,269,734,"2,713",189,689,N
G8,1,"79,488","126,302","51,657",-293,161,471,134,"1,293","4,922",-829,"20,322",N
G9,1,"81,249","109,216","41,589","2,155",110,911,488,"1,281","1,806",296,"1,225",N
