Well,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony,Plate
C22,"95,128","114,365","33,358","1,452",-69,632,78,340,"3,550",257,483,N,1
C23,"116,790","132,345","47,691",-412,-645,606,264,166,"17,135",210,"8,580",N,1
C24,"92,755","125,023","31,543","2,809",-474,675,39,131,"14,770",847,"6,127",N,1
D1,"156,799","166,246","50,409","3,479",-264,823,-48,379,"11,507",612,"2,465",N,1
D2,"108,256","131,617","22,198","2,067",-282,430,189,286,"12,434",89,"3,130",N,1
D3,"93,479","112,596","26,238","1,685",-544,453,28,294,"13,229",277,786,N,1
D4,"88,641","114,912","32,108","2,062",-125,658,33,378,"7,224",292,526,N,1
D5,"83,951","118,961","35,693","1,506",-242,378,287,181,"10,442",75,"2,942",Y,1
D6,"77,693","115,941","24,102","2,746",-169,490,135,491,"9,772",303,"1,647",N,1
D7,"130,966","143,312","26,804","3,290",-382,681,24,127,"13,682",428,"3,255",N,1
D8,"113,119","150,528","50,639","3,859",-778,538,258,-358,"19,067",938,"17,985",N,1
D9,"104,422","121,105","25,794","3,937",-33,444,494,180,"3,173",37,352,N,1
D10,"122,134","165,911","36,205","1,907",-409,416,249,-48,"10,666",165,"12,337",N,1
D11,"121,283","151,251","77,323","4,110",-265,"1,095",48,767,"9,496",919,"5,605",N,1
D12,"92,201","122,606","29,321",841,-519,647,-37,338,"12,730",220,"1,443",N,1
D13,"123,191","140,435","31,604","5,053",-471,629,103,288,"15,603",-69,"1,902",N,1
D14,"148,117","154,097","40,420","3,820",-683,914,163,108,"16,682",516,"4,813",N,1
D15,"89,004","130,920","30,419","2,803",-499,679,69,75,"12,933",269,"5,539",N,1
D16,"111,514","129,072","30,743","4,409",-297,495,100,88,"12,262",659,"5,422",N,1
D17,"114,154","163,957","32,692","1,203",-573,468,-101,125,"13,613",-92,"11,284",N,1
D18,"117,716","154,101","47,731","4,336",2,687,255,595,"10,190",221,737,N,1
D19,"134,462","149,219","27,465","4,214",-429,572,-3,18,"8,784",561,"2,304",Y,1
D20,"113,078","123,715","43,794",915,147,596,178,737,"3,094",306,"1,078",N,1
D21,"111,221","125,523","24,387","1,205",-562,576,113,-6,"13,119",43,"4,184",N,1
D22,"96,153","118,698","63,095",163,-417,768,232,599,"16,857",464,"8,862",N,1
D23,"123,014","141,129","38,870","4,268",-168,395,298,264,"11,321",131,"7,613",N,1
D24,"114,694","153,801","58,680","7,189",78,811,-33,711,"1,281",145,630,N,1
E1,"126,182","134,505","31,395","2,509",-107,311,101,379,"4,056",251,517,N,1
E2,"132,346","145,261","36,804","3,369",-322,504,-40,276,"9,497",437,424,N,1
E3,"82,206","133,844","33,323","1,140",-254,437,67,-618,"7,624",570,"21,707",N,1
E4,"69,309","109,198","18,098",891,-60,273,40,-34,"5,513",188,"4,768",N,1
E5,"113,711","132,450","32,233","4,094",-4,517,52,302,"2,789",444,309,Y,1
E6,"109,606","119,568","20,616","2,904",-170,158,-25,204,"6,446",427,419,N,1
E7,"116,894","133,927","22,386","1,923",-420,252,-27,-215,"11,341",419,"9,435",N,1
E8,"100,503","117,955","60,205","1,878",59,463,74,492,"12,926",365,"1,250",N,1
E9,"117,659","137,899","36,588","2,295",-574,456,-42,255,"17,977",48,"1,548",N,1
E10,"102,411","129,201","77,067",746,-547,977,81,"1,085","16,327",623,"2,450",N,1
E11,"119,313","136,080","32,868","1,901",-492,466,-30,270,"13,807",87,734,Y,1
E12,"76,522","107,246","49,940","1,854",-27,621,109,903,"3,101",415,932,N,1
E13,"93,792","116,334","23,441","1,442",-112,462,-87,278,"8,011",43,935,N,1
E14,"204,625","211,987","82,265","5,061",-454,"1,075","4,741",317,"28,234","2,391","6,262",Y,1
E15,"102,493","122,207","29,000","4,309",109,229,213,352,"2,053",-77,339,N,1
E16,"98,169","114,675","18,867","2,935",-135,228,-57,174,"3,942",105,21,N,1
E17,"114,157","122,155","20,388","1,864",-260,416,-71,101,"6,246",829,"3,327",N,1
E18,"132,554","147,746","32,091","3,815",-364,462,143,358,"11,749",196,494,Y,1
E19,"125,949","128,689","28,955","3,787",-403,398,-121,-4,"14,657",727,"5,971",N,1
E20,"99,883","115,171","20,425","1,681",-298,413,-85,-45,"12,052",102,"4,202",N,1
E21,"124,731","162,048","64,552","1,666",-306,759,148,362,"14,237",513,"23,862",N,1
E22,"103,912","120,913","23,365","2,907",-582,341,-28,-144,"15,192",347,"9,013",N,1
E23,"103,614","132,976","31,364","3,499",-20,552,42,261,"5,685",886,333,Y,1
E24,"117,972","131,502","30,816","2,899",486,402,14,573,"2,159",85,652,N,1
F1,"123,195","134,596","42,991","4,680",-78,546,76,476,"2,912",143,543,Y,1
F2,"136,107","147,661","33,925","1,608",-486,381,-74,-205,"15,110",59,"11,869",N,1
F3,"96,134","125,964","46,049","2,723",29,747,310,704,"5,914",65,877,N,1
F4,"113,002","126,203","34,526","4,090",-32,322,66,321,"2,461",-69,498,N,1
F5,"120,879","136,724","25,031","5,302",73,164,58,271,13,-63,375,N,1
F6,"113,170","125,078","31,055","3,499",-156,473,-3,236,"3,848",80,342,N,1
F7,"96,313","110,070","17,919","1,832",-38,438,35,239,"3,402",220,333,Y,1
F8,"94,415","148,351","53,366","6,826",-357,608,808,-489,"11,798",-209,"18,809",N,1
F9,"184,037","208,007","68,226","5,538",-410,724,435,552,"14,812",735,528,N,1
F10,"99,868","116,533","26,054","2,628",49,252,128,252,"1,821",395,364,Y,1
F11,"96,711","129,811","35,319","3,538",-88,167,55,267,"2,952",316,216,N,1
F12,"122,155","137,621","31,103","2,878",-499,269,-177,77,"12,382",-1,265,N,1
F13,"97,899","125,576","25,960","2,512",-377,368,65,106,"10,934","1,130","3,365",Y,1
F14,"103,342","117,570","22,599","2,420",-947,381,-180,129,"27,801",870,"1,384",N,1
F15,"96,136","128,218","41,959",-84,-810,487,66,185,"22,394",231,"6,457",N,1
F16,"113,989","136,921","23,534","3,744",44,523,73,174,"4,434",576,162,Y,1
F17,"109,982","118,996","27,540",768,360,514,133,416,"7,344",205,"1,345",N,1
F18,"105,184","135,671","43,784","1,639",-212,605,63,477,"8,607",703,464,Y,1
F19,"97,724","141,351","40,413",907,-604,625,33,174,"16,148",453,"10,910",N,1
F20,"110,618","128,035","22,322","3,740",-349,334,-53,72,"11,504",52,"1,431",Y,1
F21,"195,630","209,473","85,920","6,405",-872,"1,320",366,345,"31,427","1,035","17,195",N,1
F22,"81,179","106,085","23,980","3,088",66,220,36,270,"2,742",32,348,N,1
F23,"89,110","116,378","29,812","1,538",78,537,255,413,"2,427",436,583,N,1
F24,"112,042","118,900","47,330","1,139",10,456,159,376,"4,998",188,"1,251",Y,1
