CD41_APCH7,ANXA1_APC,Zombie_violet,PVR_PECy7,CD51_FITC,VEGFR1_594,CD168_700,Colony
422,"1,667",83,444,258,303,975,0
372,-138,77,335,231,44,238,0
486,378,64,395,309,214,"1,369",0
"3,579",763,229,397,492,452,473,0
"5,141",407,35,563,627,67,"1,055",0
"1,176",239,67,263,246,220,487,0
"4,668",927,157,715,865,739,"1,083",0
"3,181","1,319",106,628,667,481,"1,954",0
"1,510",98,47,897,282,92,355,0
531,180,239,506,554,362,941,0
"1,824",-171,141,839,457,218,"1,772",0
"3,319",800,96,"1,059",620,288,"3,153",0
"9,212","1,281",148,"1,497",977,289,"4,305",0
258,-24,111,"1,927",207,86,828,0
"4,441",813,101,446,785,254,"1,881",0
-69,98,20,"1,232",267,"1,506","9,621",0
978,237,67,508,215,94,-323,0
822,946,126,"1,603",351,358,"1,544",0
"5,777",752,124,234,466,284,"2,804",0
548,401,134,651,282,172,215,0
"5,883","1,782",138,818,677,406,"2,478",0
"1,396",925,152,"1,054",694,342,858,0
"2,908",450,180,"1,922","1,599",246,295,0
"2,029",379,81,613,264,90,421,0
481,900,85,"1,296",214,448,707,0
511,155,68,"1,012",320,195,783,0
"2,865","1,347",150,"1,951",583,375,"2,146",0
866,-120,65,"1,325",188,43,808,0
"5,028",199,106,850,"1,945",185,"2,124",0
519,"1,249",63,"1,965",136,49,997,0
"1,427",215,118,"1,454",323,215,825,0
"2,260",164,34,469,369,28,480,0
"6,126",607,156,106,784,197,980,0
"2,603","1,147",206,"1,230",677,220,"1,389",0
"4,182",440,23,533,326,142,867,0
219,382,70,429,276,313,17,0
955,675,95,"1,698",391,323,"1,477",0
"1,975",862,178,971,620,423,589,0
"4,345",836,142,"2,215",483,218,"2,081",0
567,"1,588",106,"1,862",551,386,922,0
"2,031","1,666",115,593,"1,599",456,"1,462",0
"2,085",-111,72,741,475,-41,-138,0
"2,477",555,233,688,707,257,-134,0
"4,938",734,322,218,709,284,841,0
"2,036",286,90,675,589,197,"1,266",0
958,798,77,811,227,176,883,0
397,"1,015",84,"1,068",249,195,991,0
"6,839","2,139",178,521,862,912,"6,250",0
"1,404",527,239,707,437,220,998,0
"1,718",117,110,814,454,155,"1,265",0
"4,250",697,98,289,644,217,346,0
"16,743","2,352",78,"1,953",685,386,"1,892",0
"2,789",311,52,"1,310",460,94,"1,118",0
"1,035",31,58,898,154,133,306,0
"1,004","1,905",84,690,529,325,"1,700",0
"1,307",46,58,655,226,216,123,0
"1,843",466,78,"1,156",260,181,"1,278",0
276,-61,119,"1,698",278,167,304,0
36,619,38,604,185,185,"1,306",0
"2,817",91,107,649,477,127,289,0
"1,024",282,181,444,386,71,"1,075",0
-62,470,49,381,131,135,"1,019",0
667,114,143,319,248,162,-141,0
"1,701",522,60,"1,048",547,144,771,0
"1,579",889,86,"1,405",264,168,"1,111",0
-12,31,38,993,100,110,471,0
223,991,83,"1,290",795,358,"2,717",0
"4,417","1,610",195,521,805,355,"1,199",0
145,-304,158,943,387,172,278,0
874,128,98,"1,427",361,190,793,0
"2,900",393,56,"1,496",395,187,"1,738",0
661,690,93,809,241,145,"2,047",0
30,295,28,198,69,200,-96,0
445,27,50,"1,465",158,93,"1,578",0
297,-108,36,"1,027",204,40,978,0
"1,597",526,90,821,326,138,977,0
"1,055",207,152,709,366,340,"1,512",0
"1,283",222,248,958,495,421,"1,191",0
397,957,61,881,165,243,"1,266",0
"5,090","1,217",147,"1,153",930,401,"1,634",0
"15,568","1,508",125,"3,113",860,454,"2,500",0
"5,603",233,129,388,534,240,581,0
"1,483",126,54,727,400,-52,226,0
462,"2,126",195,"1,194",585,349,"2,416",0
"7,090",-186,65,389,805,51,"1,461",0
"3,298","1,284",176,451,511,455,981,0
239,256,47,779,161,45,290,0
"2,419",23,56,906,681,105,508,0
486,170,99,638,385,125,-38,0
871,445,91,722,269,139,432,0
"2,708","2,487",127,"1,360","1,417",399,"1,598",0
"1,650","1,459",146,950,502,284,"4,092",0
849,-40,30,"1,125",197,8,264,0
"3,300",127,105,224,602,166,"1,011",0
