CIP2A_APC,CD41_APCH,CD42_BV605,Vimentin_488,PVR_PECy7,MICB_PE,Zombie,Colony
-5,10188,609,524,3384,383,771,0
54,14345,4115,773,2918,739,1532,0
72,2156,1124,923,3399,414,1171,0
72,4529,898,1009,4144,564,1721,0
108,1140,1832,1503,2142,704,2311,0
60,10865,610,574,2667,445,833,0
427,56013,16596,1878,2867,696,1665,0
35,20093,1384,811,2922,366,1149,0
58,2833,1116,766,2520,656,1311,0
26,2971,776,616,3534,425,1142,0
49,1795,562,565,3042,542,820,0
52,15994,903,812,3854,526,1872,0
-21,24687,19524,368,2206,871,42,0
168,4287,1651,1384,3381,653,1789,0
70,4329,581,511,2600,766,737,0
81,9245,1148,1064,5053,773,1613,0
-1,11860,6382,1280,2437,478,705,0
103,25826,10077,1471,3807,1038,2414,0
56,5954,1429,1042,5083,511,1786,0
50,412,571,559,3269,983,852,0
29,3813,988,856,3141,372,1733,0
128,20212,3162,1776,2321,530,2313,0
17,6487,514,429,2218,711,783,0
24,2383,573,417,2210,513,818,0
45,7115,688,18801,2257,375,1048,0
28,13835,1231,1008,3866,1099,1484,0
30,5172,536,483,2694,425,701,0
28,3872,323,295,2258,473,733,0
81,20993,10599,1141,4649,952,996,0
25,11800,5013,620,2307,462,992,0
44,5267,1186,978,2985,1426,2087,0
19,14900,2468,1149,3085,814,1651,0
52,4586,1302,1096,2721,712,1508,0
52,2909,977,923,3875,520,1710,0
37,18631,2713,446,2992,581,852,0
103,29471,2821,1328,2490,994,1940,0
57,6812,1041,743,2533,452,1082,0
36,14738,2282,683,2655,725,1106,0
14,2605,346,316,2671,433,546,0
15,14484,1908,564,4400,539,1149,0
336,15258,2289,1227,3172,1029,2932,0
55,12390,1650,406,3033,460,734,0
58,19589,8887,1403,3397,702,1974,0
39,1812,386,251,2124,377,376,0
97,2278,1117,1137,4628,500,2419,0
21,6154,453,371,2163,405,496,0
40,7637,1689,660,2506,699,988,0
75,34161,13815,809,3047,654,542,0
42,13567,1836,527,2191,396,641,0
41,7818,684,520,2194,623,692,0
37,2763,743,740,2598,413,1690,0
109,6418,1492,1374,4127,399,2480,0
61,8822,682,593,3340,391,796,0
18,2369,699,566,2986,864,887,0
37,4012,819,821,3298,1320,1176,0
39,1530,662,572,3112,834,951,0
