CD41_APCH7,PLVAP_APC,MICB_PE,Zombie,CD42_BV605,PVR_PECy7,Colony
"1,231",956,276,642,"29,944",502,0
"1,167",92,708,447,795,"1,496",0
865,126,295,677,"6,525",55,0
"2,828",682,535,588,"16,208",654,0
860,175,46,"1,269","1,518","4,485",0
"1,757",685,598,318,"18,550",543,0
443,60,368,271,"10,623","1,324",0
146,99,222,845,"2,634",245,0
449,126,520,281,"5,969","1,922",0
45,30,411,701,"6,959",501,0
347,59,414,268,"1,270",102,0
345,181,411,286,"18,010",215,0
315,100,833,219,"2,125","2,634",1
519,51,465,482,754,580,0
857,200,178,782,824,215,0
140,15,110,148,834,48,0
"1,434",842,163,305,"19,381",326,0
"1,789",339,774,231,"7,639",949,0
"1,080",296,722,317,"8,517",833,0
63,37,85,428,420,135,0
407,85,583,180,"1,983","1,381",0
119,53,617,343,391,"1,118",0
"1,697",325,847,862,"2,010","1,450",0
246,60,372,822,973,"1,047",0
888,287,314,243,"1,339",275,0
"1,521",560,120,693,"14,031",106,0
379,172,369,200,"9,309",566,0
112,59,638,302,"1,004","1,389",0
685,568,271,747,"43,445",141,0
864,189,270,400,"12,111",461,0
"2,655",800,"1,792",534,"12,139","1,737",0
794,198,524,686,"8,414",837,0
277,27,396,314,578,587,0
362,142,840,288,"11,356","1,072",0
336,19,243,942,"1,270",817,0
467,79,204,386,"4,133",187,0
"1,214",236,285,"1,269","5,859",78,0
919,310,656,398,"16,216",967,0
"1,358",228,"1,007",97,"4,877",924,0
"1,075",618,189,697,"30,199",220,0
686,89,335,266,747,330,0
"1,990",338,165,"1,148","22,415","1,789",0
516,213,380,419,"29,903",695,0
902,207,475,254,375,717,0
454,65,415,122,"3,776",325,0
"2,101",186,"1,494",365,"2,758",644,0
"1,459",351,804,378,"10,796",948,0
575,119,777,199,"9,903","1,250",0
"1,103",543,104,650,"15,923",117,0
"1,501",775,684,719,"32,929",983,0
34,24,188,128,38,553,0
"1,813",377,228,364,"6,915",402,0
"1,862",776,145,460,"15,313",318,0
549,205,95,414,"7,892",214,0
"2,236",702,160,699,"14,180",453,0
309,13,142,237,316,358,0
"1,296",139,851,204,"1,742","1,242",0
339,60,498,286,584,"1,183",0
210,69,518,462,434,"1,446",0
583,77,267,393,858,903,0
"1,115",169,104,496,"1,172",6,0
669,51,763,306,508,"2,039",0
"1,181",641,193,930,"33,423",193,0
388,144,355,316,"4,878",418,0
324,222,257,407,"20,837",296,0
456,158,572,154,"4,688",991,0
166,165,218,524,"20,344",400,0
553,359,615,511,"32,452",826,0
440,82,719,295,324,"1,238",0
33,9,172,127,138,56,0
"2,007",446,292,"1,362","16,051",701,0
856,315,226,757,"15,603",164,0
"1,177",891,300,300,"22,583",362,0
399,156,729,264,"15,500",448,0
639,252,270,236,"17,168",321,0
912,708,416,994,"38,809",190,0
"1,217",318,291,454,"7,732",716,0
"1,173",548,174,615,"25,341",181,0
652,117,285,232,500,604,0
"1,392",728,776,536,"23,231","1,194",0
262,49,192,202,484,674,0
"1,425",466,390,302,"16,511",480,0
107,48,356,531,530,"1,350",0
632,133,215,652,"1,173",197,0
614,191,61,490,"12,333","1,312",0
"1,025",231,278,324,"1,371",699,0
628,378,354,"1,014","26,834",296,0
"1,510",834,606,283,"42,670",628,0
"1,159",587,250,458,"20,619",289,0
790,151,495,868,"2,977",817,0
866,155,663,232,"5,724","1,603",0
"1,025",634,501,386,"10,624",362,0
"1,043",160,661,199,"1,026","1,225",0
761,99,769,226,269,"1,465",0
259,15,137,626,871,446,0
"1,094",226,367,424,"5,668",520,0
267,145,"1,070",859,"2,723","2,401",0
855,573,382,674,"30,813",149,0
752,238,502,336,"7,960",355,0
360,66,779,332,530,892,0
"1,340",582,522,551,"11,413",769,0
"1,549",596,386,230,"18,040",387,0
607,20,196,340,36,815,0
387,166,"1,279",319,"14,525",925,0
689,141,"1,008",351,"12,849","1,376",0
"1,602",363,443,487,"8,727",379,0
943,624,400,487,"31,580",466,0
342,49,309,153,"1,383",705,0
"1,109",328,646,337,"11,388",958,0
"1,408",80,505,453,"3,158","1,089",0
943,93,543,334,562,722,0
811,115,293,414,774,625,0
"3,122",277,442,474,418,"1,563",0
835,193,108,855,"2,924",796,0
543,72,111,141,802,596,0
381,79,203,648,"1,980",257,0
863,419,247,702,"25,674",297,0
674,370,174,758,"35,367",143,0
233,141,499,826,931,"1,101",0
898,156,635,296,351,"1,068",0
462,125,630,329,"4,124",624,0
"1,194",212,126,309,"5,401",688,0
719,315,487,595,"16,717",277,0
"1,758",326,692,237,"7,525","1,007",0
"3,610",548,471,341,"6,535",238,0
136,124,582,251,"16,757",665,0
527,195,869,200,"6,648",850,0
"2,954",586,876,465,"7,779",523,0
8,34,891,291,"5,173","1,463",0
"1,130",784,229,678,"20,470",369,0
980,728,337,331,"22,177",284,0
"1,108",432,535,154,"4,645",312,0
135,70,968,278,"1,762","1,726",0
"2,094","1,669",297,"1,327","54,508",520,0
418,178,209,564,"8,686",186,0
625,105,291,310,"3,671",772,0
21,14,79,105,203,142,0
400,268,199,763,"9,043",143,0
162,22,661,133,370,"2,399",0
"1,676",680,249,"1,568","44,753",326,0
260,143,424,320,"22,884",360,0
"1,374",287,"1,414",235,"6,514","1,145",0
343,108,"1,005",163,"8,410",757,0
348,114,"1,040",313,"24,193",621,0
345,154,424,582,"11,022",606,0
388,57,522,616,"14,813",737,0
340,74,322,348,"15,116",278,0
314,64,232,493,841,696,0
420,130,96,"1,201","4,422",102,0
512,334,208,397,"22,006",216,0
"1,449",552,207,362,"16,426",266,0
918,561,450,204,"34,203",337,0
302,117,407,280,"1,463",636,0
"1,416",738,395,341,"19,782",921,0
"1,373",228,735,366,"4,193","1,331",0
109,125,581,113,"11,571","1,018",0
989,224,671,270,"3,680",817,0
145,59,612,225,"11,061",901,0
800,87,571,243,692,735,0
718,136,93,321,"4,801",12,0
811,486,339,496,"38,217",433,0
952,263,282,583,"19,132",230,0
"1,000",567,758,343,"32,237",695,0
"1,654",666,266,291,"13,391",252,0
350,4,718,343,737,"2,100",0
"1,222",144,333,229,"2,132","1,106",0
709,104,767,213,410,924,0
493,177,"1,302",355,"8,902","2,148",0
"1,301",348,351,337,"13,377",462,0
851,599,"1,132",478,"19,299",827,0
190,62,200,693,733,345,0
"1,811",615,679,554,"17,737","1,503",0
331,46,218,317,428,652,0
303,119,701,407,"2,188","2,388",0
"1,572","1,183",323,"1,582","51,385",475,0
418,58,202,857,"3,119",589,0
24,24,84,137,278,206,0
291,67,391,383,650,932,0
848,136,155,538,"5,921",60,0
113,34,536,178,"5,222",799,0
166,57,292,251,186,891,0
"4,024",600,171,438,"3,594",478,0
375,61,257,343,"2,715",849,0
783,86,283,212,299,558,0
16,19,143,222,418,267,0
427,38,130,806,927,806,0
65,-4,338,167,264,189,0
"1,554",820,"1,216",134,"20,988",840,0
506,112,148,202,"6,486",354,0
303,112,865,688,"1,565","2,652",0
"2,016",783,324,381,"22,519",642,0
