Well,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony,Plate,Cells per well
E22,"135,790","144,556","38,417","3,028",-303,603,83,200,"13,461",239,"2,820",N,3,0
E23,"124,425","141,607","40,059","2,709",-178,430,119,340,"8,090",435,368,N,3,0
E24,"89,821","107,709","26,844","1,805",-37,681,-83,267,"3,780",577,239,N,3,0
F1,"110,693","158,223","36,307","4,639",-260,638,124,280,"8,464",640,"2,004",N,3,0
F2,"83,059","107,500","28,745","2,379",-40,379,118,353,"1,978",379,397,N,3,0
F3,"158,279","166,050","40,333","3,220",-138,881,57,377,"8,485",90,500,N,3,0
F4,"111,041","144,987","46,920","1,174",-96,718,-64,498,"6,361",501,522,N,3,0
F5,"96,212","113,575","27,301","1,408",-553,361,17,154,"12,307",454,717,N,3,0
F6,"105,616","157,683","74,564",968,234,"2,799",305,928,"9,495","1,382","1,637",N,3,0
F7,"107,308","131,320","47,629","1,236",-376,491,21,626,"10,419",349,977,N,3,0
F8,"115,427","131,012","21,621","3,677",-188,500,8,231,"8,202","1,507",745,N,3,0
F9,"113,395","120,889","22,659","2,301",2,232,85,259,"2,186",333,323,N,3,0
F10,"97,465","125,046","29,150","2,667",-426,140,52,27,"13,845",-23,"6,986",N,3,0
F11,"117,470","126,338","29,701","1,373",-329,594,96,391,"11,334",436,"3,160",N,3,0
F12,"110,534","128,094","32,798","3,573",-276,398,73,51,"9,714",29,"9,181",N,3,0
F13,"97,358","149,198","64,288","1,201",-609,588,44,-134,"19,150",542,"15,588",N,3,0
F15,"107,364","127,079","39,104","1,822",-99,750,-14,449,"9,271",470,"1,104",N,3,0
F16,"89,192","122,790","22,911","2,067",-125,284,39,180,"3,465",-9,190,N,3,0
F17,"125,083","139,688","43,338","1,419",-536,"1,042",278,170,"14,288",268,"3,088",N,3,0
F18,"105,884","133,221","41,834","1,141",-554,"1,199",-84,170,"13,733",311,"3,005",N,3,0
F20,"121,164","139,426","37,239","2,401","-1,029",445,222,-60,"21,813",117,"8,024",N,3,0
F21,"165,905","163,426","32,077","2,781",-409,923,64,236,"10,903",247,255,N,3,0
F23,"100,990","133,282","35,647","4,379",-690,821,94,155,"15,855",406,"5,053",N,3,0
F24,"84,119","108,631","33,869","1,579",53,342,266,324,902,205,459,N,3,0
G1,"103,863","121,617","48,686","1,691",-174,638,50,558,"6,751",248,470,N,3,0
G2,"123,465","141,056","31,306","1,925",-529,471,70,44,"13,451",757,"3,258",N,3,0
G3,"147,359","155,492","51,440","2,404",-570,646,21,315,"15,445",496,"7,877",N,3,0
G4,"102,960","112,090","26,853","2,220",204,352,-13,277,"3,733",270,260,N,3,0
G5,"105,694","144,706","56,650","4,192",-497,541,347,-619,"15,466",736,"27,898",N,3,0
G6,"107,089","117,621","24,686","2,914",-395,603,64,318,"10,816","1,030",309,N,3,0
G7,"119,141","140,268","40,848","3,564",-401,574,87,20,"10,824",685,"9,237",N,3,0
G8,"102,644","120,326","28,265","1,999",-86,278,32,310,"2,751",450,337,N,3,0
G9,"123,794","133,637","27,014","2,784",-355,495,-135,234,"14,285",309,227,N,3,0
G10,"141,980","145,050","40,739","4,497",-336,858,-83,366,"9,062",369,347,N,3,0
G11,"109,927","131,604","35,128","3,102",-401,982,130,769,"14,051",360,"1,717",N,3,0
G12,"125,279","136,881","31,256","4,377",-46,654,147,280,"8,136",377,599,N,3,0
G13,"114,007","139,207","30,383","4,353",-466,"1,031",396,224,"13,992",491,634,N,3,0
G14,"118,851","135,934","51,947","4,174",-518,"1,144",388,20,"14,702",366,"11,322",N,3,0
G15,"112,504","121,196","25,177","2,264",-199,459,-66,83,"7,824",157,"2,147",N,3,0
G16,"110,898","130,585","31,419","2,803",-382,437,88,30,"11,210",85,"6,549",N,3,0
G17,"129,695","142,526","38,697","6,402",-124,565,90,299,"9,234",314,"2,527",N,3,0
G20,"104,123","124,601","39,870","2,030",104,911,118,357,"2,983",279,"2,263",N,3,0
G22,"130,795","152,251","50,055","5,044",-456,578,94,415,"15,359",118,638,N,3,0
G23,"110,804","144,307","38,292","3,762",-648,922,75,46,"13,271",14,"4,934",N,3,0
G24,"87,364","99,357","19,449","1,985",-103,258,-93,204,"3,857",392,285,N,3,0
H1,"130,501","146,247","59,407","2,169",-169,649,-87,613,"10,619","1,192",748,N,3,0
H2,"121,400","125,389","28,693","1,721",-99,505,163,151,"7,944",61,"7,240",N,3,0
H3,"108,713","128,892","34,987",788,-424,294,4,-330,"8,803",411,"13,209",N,3,0
H4,"110,170","117,737","23,553","3,798",-17,322,125,40,"6,324",-31,"5,126",N,3,0
H5,"120,950","132,251","30,735","2,261",38,395,7,386,"2,574",632,683,N,3,0
H6,"125,455","128,921","42,278","1,415",-570,606,65,196,"12,201",484,"4,359",N,3,0
H7,"102,635","110,405","20,427","2,198",-55,202,-29,189,"3,427",476,257,N,3,0
H8,"104,920","118,952","30,843","1,852",-401,208,-75,15,"12,115",537,"5,106",N,3,0
H9,"124,834","136,218","37,046","1,764",-276,976,206,264,"11,209",408,"2,908",N,3,0
H10,"135,162","144,795","30,075","2,787",-219,357,138,93,"8,854",341,"4,854",N,3,0
H11,"141,100","150,103","53,172","1,236",-678,609,114,358,"18,114",202,"3,535",N,3,0
H12,"96,779","138,193","79,387",62,-47,818,44,871,"10,466",750,"3,324",N,3,0
H13,"127,414","135,307","46,510","2,229",-403,675,-7,390,"10,875",346,349,N,3,0
H14,"95,341","128,341","43,324","2,827",-438,513,-27,234,"10,527",280,964,N,3,0
H15,"136,399","176,633","43,511","6,502",-473,732,44,-28,"13,476",-103,"10,627",N,3,0
H16,"126,139","132,956","38,465","1,623",-791,290,137,-660,"16,974",770,"22,432",N,3,0
H17,"104,375","122,175","25,324","2,614",28,507,47,296,"1,930",764,"2,480",N,3,0
H18,"99,700","116,078","36,418","3,057",-129,611,62,419,"5,500",317,461,N,3,0
H19,"119,592","130,688","42,485",722,-807,197,30,-430,"22,060",232,"18,408",N,3,0
H21,"117,120","119,929","23,481","2,379",-134,380,126,238,"8,020",201,478,N,3,0
H22,"117,497","146,896","32,318","3,725",-282,812,12,195,"9,170",664,"3,843",N,3,0
H23,"171,323","181,208","55,175","1,624",-306,884,563,-43,"14,510",200,"12,989",N,3,0
H24,"99,036","126,076","62,436",-922,"-1,372",870,76,279,"26,572",398,"7,821",N,3,0
I1,"127,637","148,070","36,777","2,095",-544,709,163,-29,"12,619",17,"8,987",N,3,0
I2,"101,301","110,599","28,901","3,971",-210,252,-10,196,"8,109",595,649,N,3,0
I3,"138,297","141,270","39,943","3,762",-140,493,101,405,"4,536",125,474,N,3,0
I4,"116,652","124,337","44,284","1,099",-15,503,48,547,"6,375",170,"1,798",N,3,0
I5,"118,705","127,975","24,721","1,300",-576,259,73,103,"12,594",673,"1,735",N,3,0
I6,"107,872","121,860","21,523","2,657",-237,379,-17,-18,"7,347",253,"4,402",N,3,0
I7,"89,649","100,526","23,776","2,366",449,407,173,170,"3,793",327,197,N,3,0
I8,"95,100","117,718","22,655","1,871",-319,297,126,163,"12,644",194,716,N,3,0
I9,"127,277","145,409","34,044","1,447",-314,245,981,44,"19,313",-159,"9,763",N,3,0
I10,"115,555","124,351","32,612","3,800",77,355,-72,456,"2,790",104,"1,466",N,3,0
I11,"103,747","109,607","27,457","1,421",-307,556,-54,132,"9,581",366,"3,329",N,3,0
I12,"110,872","127,716","24,497","2,033",-356,574,-40,188,"14,712",285,"2,977",N,3,0
I13,"97,159","117,795","19,829","1,905",-163,377,234,92,"10,338",398,"4,771",N,3,0
I14,"87,055","106,486","22,423",596,-619,269,37,124,"14,140",87,"4,734",N,3,0
I15,"79,623","125,691","52,099","1,983",-76,709,849,54,"11,491",270,"4,042",N,3,0
I16,"129,731","141,481","33,901","2,409",-436,564,59,668,"10,326",323,"1,310",N,3,0
I17,"73,854","101,029","31,907",249,-626,376,-37,78,"15,268",281,"4,574",N,3,0
I19,"131,188","133,558","30,519","1,682",-538,474,7,77,"19,599",641,"4,219",N,3,0
I20,"92,606","113,591","54,692","1,176",-341,605,73,508,"12,782",249,905,N,3,0
I22,"139,936","176,007","45,447","5,832",-12,"1,075",140,545,"8,256","1,242","3,907",N,3,0
I23,"108,221","151,666","55,081","7,201",-30,646,-20,542,"2,801",975,628,N,3,0
I24,"122,085","125,918","26,377","2,108",-252,527,115,288,"10,116",172,"2,181",N,3,0
J1,"143,268","166,001","43,551",753,75,338,204,-142,"9,092",424,"14,726",N,3,0
J2,"88,590","118,856","30,337","2,034",-233,530,141,326,"7,956",134,586,N,3,0
J3,"84,150","128,097","33,238","4,214",-332,933,66,422,"8,407",401,406,N,3,0
J4,"99,944","130,116","46,631","4,458",-402,642,264,334,"12,222",-356,"10,797",N,3,0
J5,"119,226","137,905","47,278","6,352",-102,307,530,387,"11,199",415,732,N,3,0
J6,"106,495","127,823","47,415",854,-655,541,13,423,"18,976",470,838,N,3,0
J7,"97,823","117,363","25,152","2,333",-254,240,49,-64,"8,296",541,"8,909",N,3,0
J8,"107,560","125,858","26,750","2,748",-241,686,62,217,"7,925",256,199,N,3,0
J9,"119,851","121,007","31,618",952,-713,759,"1,951",491,"19,835",471,"7,097",N,3,0
J10,"68,847","94,949","19,008",366,315,282,269,203,74,313,431,N,3,0
J11,"110,696","114,991","22,087","1,376",-339,526,63,132,"10,739",476,"1,150",N,3,0
J12,"103,916","140,437","40,182","7,253",141,471,378,537,"4,933",216,682,N,3,0
J13,"95,419","113,804","25,027","1,473",-281,448,-102,136,"8,915",-5,"1,319",N,3,0
J14,"111,387","140,480","28,969","4,461",-385,453,48,210,"10,364",401,910,N,3,0
J15,"98,470","129,971","49,006","1,957",-43,712,28,616,"6,282",522,"2,401",N,3,0
J16,"82,946","104,131","21,927","1,049",257,389,303,214,108,439,"1,119",N,3,0
J17,"107,407","120,069","28,890","3,174",66,996,337,613,"3,802",691,938,N,3,0
J18,"161,132","178,059","44,735",551,-222,558,239,-43,"8,098",401,"25,067",N,3,0
J19,"88,392","109,445","23,636","1,067",-392,344,79,155,"10,638",261,"2,094",N,3,0
J20,"188,081","213,140","67,662","7,097",-895,"1,526",784,686,"27,618",558,"10,024",N,3,0
J21,"76,458","104,098","21,582","2,080",-78,239,14,245,"2,500",86,630,N,3,0
J22,"108,300","116,773","19,347","2,807",-59,159,140,104,"2,818",394,278,N,3,0
J23,"123,476","135,029","26,814","2,295",-466,507,139,77,"11,445",885,"2,253",N,3,0
J24,"122,354","130,068","34,671","1,657",-333,"1,196",176,162,"10,925",403,"1,539",N,3,0
K1,"109,264","135,641","33,078","2,377",-163,584,83,334,"7,001",109,"2,090",N,3,0
K2,"115,350","135,644","42,052",-60,-507,695,108,415,"15,608",317,"4,817",N,3,0
K3,"106,603","136,577","51,765","3,366",-325,428,-31,-111,"12,448",313,"17,740",N,3,0
K4,"142,053","154,417","69,652",-84,-684,784,-28,-141,"22,180",557,"21,787",N,3,0
K5,"146,329","153,484","81,577","1,267",-501,621,69,353,"17,566","1,036","8,308",N,3,0
K6,"100,447","112,582","20,793","2,210",-97,201,27,165,"2,647",81,230,N,3,0
K7,"88,599","118,055","47,392",497,59,507,26,677,"3,742",354,733,N,3,0
K8,"119,754","124,131","23,953","1,418",-236,452,-36,163,"8,612",164,990,N,3,0
K9,"132,541","136,972","34,022",872,-135,590,-15,366,"9,124",910,415,N,3,0
K10,"102,355","123,608","22,193","2,494",-277,227,126,-264,"9,451",49,"10,222",N,3,0
K11,"85,992","108,376","25,161","2,516",-36,434,202,252,"4,975",310,203,N,3,0
K12,"108,835","119,424","29,190",-74,-275,654,-30,106,"10,491",320,"4,409",N,3,0
K13,"99,339","122,526","24,892","2,082",-218,268,65,190,"4,431",61,173,N,3,0
K14,"74,109","101,965","23,119","1,985",-113,275,9,238,"2,859",190,259,N,3,0
K15,"117,684","127,809","30,780","2,906",-113,519,213,298,"8,951",300,"2,200",N,3,0
K16,"148,029","181,667","36,415","3,501",79,538,29,347,256,"1,064",571,N,3,0
K17,"109,996","134,383","33,552",921,-413,599,43,293,"13,025",356,"3,528",N,3,0
K18,"107,517","128,571","49,389",136,-593,427,-52,180,"16,195",401,"4,937",N,3,0
K19,"151,065","150,073","52,024","2,709","-1,435","1,168",221,140,"34,618",-33,"8,750",N,3,0
K20,"95,922","138,903","51,782","4,550",-17,691,126,621,"3,145",546,785,N,3,0
K21,"101,459","125,673","27,617","1,896",-542,504,-19,455,"14,809",205,587,N,3,0
K22,"138,616","149,552","32,917","2,927",-51,429,189,272,"6,445",745,411,N,3,0
K23,"100,083","132,839","61,221",800,-252,676,5,510,"7,549",543,"6,780",N,3,0
K24,"124,518","134,109","58,318","2,283","-1,241","1,092",-28,165,"34,019","1,161","13,620",N,3,0
L1,"119,773","131,173","27,917","4,219",-219,640,41,255,"9,675",187,314,N,3,0
L2,"105,318","138,671","61,164",402,-813,413,21,266,"20,595",578,"6,052",N,3,0
L3,"95,558","119,359","34,653","2,130",-485,712,73,118,"14,766",149,"5,155",N,3,0
L4,"147,546","171,904","58,942",-256,-506,276,98,-39,"19,568",221,"12,254",N,3,0
L5,"103,568","114,829","23,291","4,196",-468,525,-10,182,"9,192",233,466,N,3,0
L6,"98,482","124,376","31,760","2,625",-385,280,-52,112,"11,481",37,"6,526",N,3,0
L7,"117,818","125,193","17,552","2,744",-176,374,29,173,"5,689",857,196,N,3,0
L8,"110,492","169,255","42,982","1,713",-420,707,40,644,"14,249",175,"2,803",N,3,0
L9,"98,340","113,423","19,432","2,299",-138,200,58,189,"4,835",-21,326,N,3,0
L10,"101,276","107,463","38,328","1,321",-206,727,16,560,"8,024",283,667,N,3,0
L11,"120,026","131,192","28,949","3,499",-427,372,65,3,"12,327",337,"6,502",N,3,0
L12,"101,522","113,886","24,481","3,474",10,311,-34,338,952,106,373,N,3,0
L13,"88,479","100,189","24,482","1,232",-132,319,43,138,"3,021",144,223,N,3,0
L14,"108,732","123,715","46,430","4,066","1,589",629,"1,130",815,"9,341",622,522,N,3,0
L15,"93,815","106,216","19,074","1,861",245,394,-28,268,"2,604",-4,305,N,3,0
L16,"108,415","132,123","38,636","1,204",-50,505,214,370,"8,830",185,368,N,3,0
L17,"111,040","122,900","17,716","1,087",-628,432,78,84,"13,324",504,587,N,3,0
L18,"121,065","131,919","27,562","2,964",-86,414,30,125,292,397,736,N,3,0
L19,"119,380","133,314","32,392","1,011",-334,658,-37,114,"11,447",92,"3,062",N,3,0
L20,"123,728","146,344","36,738","2,760",-422,730,96,427,"13,729",630,993,N,3,0
L21,"119,713","128,585","52,055","1,156",-94,557,-19,565,"5,161",260,"1,867",N,3,0
L22,"130,259","132,703","56,837",965,-236,875,48,463,"8,230",616,"3,493",N,3,0
L23,"116,073","122,588","35,126","2,423",-778,"1,075",-83,309,"17,981",136,"2,913",N,3,0
L24,"122,268","126,117","36,101","2,177",-362,"1,449",148,378,"7,577","1,328",281,N,3,0
M1,"119,438","134,172","31,524","2,485",-167,501,4,149,"10,548",507,567,N,3,0
M2,"92,175","115,854","26,926","1,908",40,397,-18,264,"4,048",854,204,N,3,0
M3,"104,180","126,102","31,447",588,-350,732,98,275,"13,223",262,"3,582",N,3,0
M4,"106,200","114,669","28,326","3,503",-39,333,81,267,"5,840",391,"1,882",N,3,0
M5,"92,976","113,321","28,655","2,183",48,407,46,183,"8,448",139,"2,617",N,3,0
M6,"93,387","113,996","22,799","2,562",-147,216,13,165,"6,104",424,276,N,3,0
M7,"123,670","121,599","36,772","1,550",-234,638,-51,-240,"8,510","1,355","14,970",N,3,0
M8,"87,054","111,350","37,112","1,829",-108,807,145,769,"10,813",292,925,N,3,0
M9,"100,938","122,365","26,023","2,337",-515,483,70,254,"11,447",228,453,N,3,0
M10,"105,295","122,442","42,275","3,615",-217,491,118,397,"7,063","1,196",369,N,3,0
M11,"130,702","143,229","38,029","4,518",-290,625,-52,321,"12,564",622,"1,492",N,3,0
M12,"136,361","149,049","42,669","1,007",-556,417,204,-97,"20,528",236,"11,960",N,3,0
M13,"109,106","111,829","39,040","1,570",38,381,140,425,"2,323",215,924,N,3,0
M14,"86,578","143,514","35,392","4,828",-103,570,88,514,"5,291",14,"1,374",N,3,0
M15,"87,037","115,334","25,914","2,517",-103,423,-17,323,"6,534",436,363,N,3,0
M16,"133,426","141,499","47,980","2,171",-75,520,146,536,"6,310",285,719,N,3,0
M17,"127,857","131,940","30,291","2,292",-110,270,3,249,"2,651",81,324,N,3,0
M18,"125,689","142,226","33,466","2,784",-117,437,-21,279,"7,196",663,251,N,3,0
M19,"95,046","114,232","31,917","4,030",10,461,-35,328,"4,458",552,355,N,3,0
M20,"154,587","150,285","38,506","1,266",-622,713,128,267,"17,910",520,"3,955",N,3,0
M21,"114,028","132,565","32,735","3,248",-195,778,26,176,"6,799",187,"1,387",N,3,0
M22,"92,214","106,975","30,211",350,-717,203,28,-79,"16,695",177,"7,860",N,3,0
M23,"133,643","152,307","93,529","1,106",-765,276,286,-824,"21,771",515,"34,796",N,3,0
M24,"99,569","112,087","18,241","2,768",-306,318,65,12,"8,597",38,"4,778",N,3,0
N1,"100,871","123,258","33,424","3,441",-264,612,-16,311,"14,239",430,"3,324",N,3,0
N2,"91,805","111,432","53,237","1,236",149,650,84,585,"1,221",374,660,N,3,0
N3,"207,612","211,837","57,847","2,467",-506,869,165,300,"17,488",827,"6,854",N,3,0
N4,"129,523","179,984","72,513","5,570",661,"1,032",131,170,"22,191",78,"11,718",N,3,0
N5,"150,215","162,055","51,490","6,749",-148,601,52,146,"10,063",175,"5,547",N,3,0
N6,"110,552","120,684","23,605",950,-402,383,75,144,"10,244",279,"2,810",N,3,0
N7,"106,295","143,434","47,282","3,300",-57,631,214,528,"6,556",112,662,N,3,0
N8,"94,562","115,592","33,350","2,663",-169,554,106,253,"9,110",681,296,N,3,0
N9,"108,105","125,705","29,483","3,028",-174,208,-28,247,"6,158",688,330,N,3,0
N10,"106,408","113,999","28,917","1,495",-143,315,88,249,"5,720",133,329,N,3,0
N11,"110,955","121,500","30,743","2,500",-171,556,184,356,"9,338",106,"1,199",N,3,0
N12,"115,532","136,051","27,572","5,009",-233,447,76,30,"9,236",284,"3,092",N,3,0
N13,"121,135","128,739","24,407","2,284",76,296,0,226,"2,419",408,312,N,3,0
N14,"93,827","139,374","53,789","4,944",-212,"2,967",-237,218,"3,951","1,272",202,N,3,0
N15,"106,598","117,491","27,053","2,855",-176,616,-42,225,"9,900",278,"2,120",N,3,0
N16,"188,904","212,755","40,656","4,595",-490,687,352,341,"19,552",283,"4,675",N,3,0
N17,"117,314","120,900","25,591","1,573",7,280,1,214,"2,515",119,305,N,3,0
N18,"140,178","148,106","27,483","1,207",-442,398,190,364,"9,116",723,814,N,3,0
N19,"109,631","158,745","67,066",-462,"-1,486",777,30,996,"40,639",422,"8,762",N,3,0
N20,"126,934","130,821","33,944","2,932",61,351,140,390,"1,921",155,350,N,3,0
N21,"111,134","128,505","42,632","5,106",-227,847,-55,453,"6,323",-128,411,N,3,0
N22,"107,186","122,624","29,872","3,895",-263,620,-8,322,"7,871",897,297,N,3,0
N23,"110,864","151,793","91,752",766,-434,633,203,657,"15,237",242,"4,025",N,3,0
N24,"107,586","124,325","32,564","2,648",-207,551,33,277,"7,455",421,"3,695",N,3,0
O1,"119,402","130,940","31,003","1,716",-232,566,87,308,"9,753",322,"1,266",N,3,0
O2,"105,064","119,793","23,361","3,163",-26,565,11,309,"3,246",646,261,N,3,0
O3,"162,024","173,967","96,748","4,077","-1,004","1,523",202,748,"30,584",389,"9,590",N,3,0
O4,"85,036","113,944","47,829","1,931",-94,575,-103,629,"3,150",159,583,N,3,0
O5,"182,342","213,866","107,090","1,880",-615,"1,257",356,821,"27,611","1,158","6,798",N,3,0
O6,"92,214","140,330","9,433",227,-772,468,135,21,"18,155",-7,202,N,3,0
O7,"115,979","124,603","19,949","3,441",61,190,42,185,"2,343",224,351,N,3,0
O8,"98,150","136,408","53,677",782,-632,798,-52,172,"11,427",251,312,N,3,0
O9,"93,009","106,289","38,663","1,401",45,653,38,530,"4,120",427,490,N,3,0
O10,"152,250","176,606","45,740","4,303",-825,450,-118,-255,"15,977",916,"7,805",N,3,0
O11,"106,722","118,113","35,766",813,-421,401,44,-101,"10,031",342,"9,287",N,3,0
O12,"97,769","127,145","31,781","3,719",-115,511,91,254,"1,897",-100,329,N,3,0
O13,"113,086","130,265","27,513","3,458",-156,596,189,268,"5,884",59,"1,624",N,3,0
O14,"112,703","123,307","26,944","2,626",-383,606,1,142,"10,864",3,"1,046",N,3,0
O15,"140,005","156,924","45,661","2,575",-568,788,-88,502,"17,605",441,"3,187",N,3,0
O16,"95,080","113,212","37,777","1,754",16,494,52,300,"3,701",233,313,N,3,0
O18,"103,391","142,476","31,730","3,966",-259,588,90,222,"15,042",733,"2,278",N,3,0
O19,"71,649","94,887","12,302","1,047",392,355,201,175,248,186,861,N,3,0
O20,"121,010","136,307","63,231","3,980",-922,922,35,424,"22,375",714,773,N,3,0
O21,"79,027","141,335","30,094","3,268",-536,390,174,-22,"15,933","1,719","6,409",N,3,0
O22,"193,750","195,180","46,532","3,436",-266,672,197,86,"12,174",105,"5,431",N,3,0
O23,"121,436","130,783","38,623","2,458",-177,510,218,308,"8,582",279,404,N,3,0
O24,"114,073","131,116","50,678",761,-8,521,68,490,"4,645",407,678,N,3,0
P1,"97,860","134,081","31,304","5,084",-390,533,195,152,"9,050",18,"1,728",N,3,0
P2,"129,775","135,259","80,961",820,-301,860,181,913,"15,301",571,"5,128",N,3,0
P3,"105,515","119,602","23,339","2,082",-498,455,182,342,"12,652",373,"1,495",N,3,0
P4,"128,793","143,506","70,933","2,495",120,"1,101",109,"1,144","1,882",519,"1,111",N,3,0
P5,"108,884","117,420","22,948","2,124",-106,311,53,251,"2,827",148,309,N,3,0
P6,"125,409","138,878","25,340","3,917",-99,526,106,273,"6,616",243,254,N,3,0
P7,"93,192","111,858","27,705","2,445",-88,509,1,210,"2,476",-18,459,N,3,0
P8,"90,719","124,882","32,187","1,637",-430,663,42,270,"11,596",708,370,N,3,0
P9,"118,282","135,300","26,399","3,549",74,523,362,338,"6,365","1,347","3,064",N,3,0
P10,"95,482","115,811","27,200","2,836",-187,430,-141,377,"7,357",387,523,N,3,0
P11,"109,634","151,556","52,434","3,565",-148,183,268,-180,"15,229","1,518","22,481",N,3,0
P12,"129,047","129,742","24,991",996,-317,301,107,93,"10,268",179,"2,881",N,3,0
P13,"91,118","108,858","28,974","2,504",174,332,174,244,"2,948",877,290,N,3,0
P14,"123,463","146,887","44,954","3,530",-200,361,197,-530,"12,529","1,230","20,678",N,3,0
P15,"136,621","161,910","59,245","2,317",-330,948,-16,354,"13,063",420,"4,785",N,3,0
P16,"121,745","125,591","49,736","3,289",666,"1,063",363,696,"4,661",286,623,N,3,0
P17,"111,022","138,460","40,489","4,208",-578,771,-42,416,"15,570",203,538,N,3,0
P18,"98,514","112,337","24,139","3,550",-87,358,-50,161,"3,688",-14,579,N,3,0
P19,"148,644","157,682","45,182","2,538",-569,694,79,590,"16,494",271,"2,124",N,3,0
P20,"102,665","132,514","48,434","4,462",86,814,726,685,"11,293","1,076",511,N,3,0
P21,"96,304","138,238","50,348","3,360",-568,581,2,490,"15,157",657,892,N,3,0
P22,"75,795","130,652","49,493",808,-551,669,29,-248,"17,000",394,"18,890",N,3,0
P23,"125,498","132,238","33,633","2,099",-421,399,210,278,"8,894",273,558,N,3,0
P24,"116,734","128,749","31,337","2,065",-397,484,-36,273,"13,720",368,"2,338",N,3,0
A1,"92,687","115,155","44,781","1,359",-35,489,-75,639,"4,656",170,711,N,4,0
A4,"113,904","133,651","38,217","2,607",-347,630,51,160,"12,912",389,"2,280",N,4,0
A7,"83,938","119,396","61,087","1,390",-621,"1,197",-35,46,"17,471",386,"13,096",N,4,0
A10,"88,106","125,924","42,276","1,908",-151,626,40,306,"11,009",583,907,N,4,0
A12,"126,044","143,410","62,981","2,530",-129,215,"4,060",143,"4,149",184,139,N,4,0
A14,"115,944","134,850","77,504",-131,-654,533,79,413,"18,057",731,"10,147",N,4,0
A15,"145,183","180,151","84,542","5,797",-373,"1,522",215,314,"17,829",488,"11,169",N,4,0
A16,"105,810","119,311","28,700","1,146",-358,487,173,161,"11,788",-28,"3,955",N,4,0
A18,"93,343","118,790","33,723","1,071",-540,342,70,-105,"10,927",332,"8,572",N,4,0
A19,"107,315","128,797","28,516","2,663",-316,305,373,-41,"12,632",651,"7,098",N,4,0
A20,"114,904","121,856","31,150","2,421",-993,405,230,-61,"23,210",-62,"5,824",N,4,0
A22,"150,687","165,055","72,592","3,882",-717,"1,310",-9,324,"19,148",606,"7,155",N,4,0
A23,"150,117","180,608","84,176",-396,-160,274,107,207,"9,801",-188,"21,375",N,4,0
A24,"114,935","131,519","45,941",720,-423,445,13,-23,"11,755",117,"6,921",N,4,0
B1,"103,915","128,124","33,146","1,395",-136,395,100,236,"12,513",254,"2,714",N,4,0
B2,"106,326","129,501","34,486","2,881",-279,617,-42,561,"7,763",205,536,N,4,0
B3,"144,723","151,267","50,365","5,528",-460,893,336,528,"16,857",526,"2,329",N,4,0
B5,"148,167","148,139","48,056",661,-119,"1,016",113,345,"8,422",42,"6,731",N,4,0
B6,"127,468","155,725","47,280","4,361",-721,704,142,280,"20,311","1,174",478,N,4,0
B7,"103,700","130,111","71,045","1,375",-589,645,77,738,"20,556",359,"1,491",N,4,0
B8,"121,408","128,850","27,441","4,600",-303,611,34,114,"5,801",768,136,N,4,0
B10,"150,415","165,285","61,697",601,-318,636,-24,448,"8,687",263,645,N,4,0
B11,"86,222","104,541","31,871","1,363",-205,445,-10,358,"7,907",230,"1,156",N,4,0
B12,"107,282","125,106","32,515","2,873",-846,282,-47,-292,"19,377",305,"11,418",N,4,0
B13,"96,325","117,687","50,346","2,164",-144,958,145,568,"7,571",371,653,N,4,0
B14,"113,774","139,258","34,353","4,199",-743,450,136,-97,"15,980",24,"10,456",N,4,0
B16,"84,957","105,432","9,922",204,-203,494,243,-34,"4,629",11,"3,406",N,4,0
B17,"106,203","109,698","59,622","3,001",399,492,283,630,"3,973","1,089",754,N,4,0
B18,"99,587","121,083","24,901",302,-189,657,93,221,"6,265",448,381,N,4,0
B19,"103,708","127,700","33,235","1,543",-318,863,-14,246,"10,700",140,409,N,4,0
B20,"139,928","148,984","24,523","1,849",-194,395,-115,149,"9,027",388,"3,840",N,4,0
B21,"125,779","137,465","31,716","2,168",-186,515,-64,346,"8,567",347,275,N,4,0
B23,"74,193","99,198","16,016",620,268,263,661,318,284,122,726,N,4,0
B24,"106,918","136,501","76,378",322,-417,445,151,-660,"14,653",789,"29,853",N,4,0
C4,"109,967","115,442","83,080","3,895",-62,"1,157",84,"1,185","10,878",364,"1,140",N,4,0
C6,"99,574","119,002","26,709","1,394",-550,383,223,-54,"11,742",-105,"6,568",N,4,0
C7,"109,323","116,005","26,195",696,-464,287,53,1,"13,241",337,"3,265",N,4,0
C10,"111,145","119,496","34,313","1,759",-191,331,131,343,"5,545",493,418,N,4,0
C11,"110,686","119,824","67,703","1,051",-83,774,-42,923,"6,143",319,"1,108",N,4,0
C12,"107,783","127,993","31,732","2,749",109,501,111,459,"2,854",165,547,N,4,0
C13,"91,022","108,512","18,637","2,151",-114,273,98,172,"4,877",676,157,N,4,0
C14,"104,064","129,361","32,157","2,585",-127,789,92,-85,"7,593",-3,"12,040",N,4,0
C15,"151,686","182,646","71,302","10,114",251,"1,157",358,608,"20,313",392,"6,213",N,4,0
C16,"123,217","143,921","38,559","3,567",-221,795,66,298,"13,988",731,377,N,4,0
C17,"105,158","128,767","48,537","2,097",-31,750,7,847,"5,503",312,883,N,4,0
