Well,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony,Plate,Cells per well
G24,"126,841","137,552","51,587","3,568",-380,809,34,103,"14,951",638,"12,092",Y,4,4
H2,"147,591","181,031","56,798","6,179",-742,"1,021",475,427,"25,508","3,380","5,639",Y,4,6
H5,"139,869","148,293","37,766","3,681",-275,472,-5,-132,"11,384",-91,"13,549",Y,4,6
H17,"126,875","148,385","33,279","3,957",-250,718,38,179,"7,032",635,635,Y,4,4
I1,"103,721","120,128","75,369","1,171",-155,748,-68,814,"3,572",388,698,Y,4,10
I3,"101,409","133,246","48,723","3,701",213,850,30,714,"6,864",287,752,Y,4,4
I7,"125,545","136,834","31,863","1,963",-123,491,107,318,"5,950",672,412,Y,4,4
I8,"121,376","161,819","54,605","5,941",-551,725,96,173,"19,969",813,"9,149",Y,4,4
I14,"97,872","134,209","43,483","4,277",71,346,137,249,"3,883",210,514,Y,4,4
I19,"111,197","137,987","46,118","3,495",-397,820,285,525,"13,623",47,"2,644",Y,4,20
I23,"101,182","131,665","47,907","5,405",-3,"1,045",-61,760,"2,283",59,"1,198",Y,4,2
J2,"104,825","122,407","28,466","1,709",-92,278,36,263,"6,900",210,552,Y,4,11
J5,"112,234","141,419","31,131","2,090",-421,578,316,240,"10,924","1,819","3,680",Y,4,5
J7,"96,919","121,343","40,751","3,079",-45,520,-35,263,"7,026",186,271,Y,4,20
J11,"128,501","157,278","86,649","6,597",-710,"1,073",226,752,"22,475",119,"3,757",Y,4,7
J21,"116,199","128,332","30,734","7,545",-223,354,115,200,"5,681",-169,279,Y,4,10
J23,"113,346","123,440","23,996","3,891",-56,497,0,295,"3,211",375,346,Y,4,7
K2,"120,804","163,787","40,692","6,831",-87,"1,570",481,721,"16,715",101,"1,690",Y,4,4
K4,"154,542","168,678","41,412","3,951",-295,716,37,207,"9,613",90,"2,785",Y,4,2
K9,"190,922","197,202","55,598","7,553",13,760,251,477,"8,668",394,626,Y,4,11
K15,"117,385","128,419","37,760","4,949",-334,464,41,274,"9,703",845,543,Y,4,6
L12,"95,454","109,593","25,479","4,560",26,542,47,378,"7,529",586,309,Y,4,8
L19,"112,026","149,149","41,209","3,226",-284,506,47,366,"9,526",375,516,Y,4,6
M13,"104,310","126,332","24,611","4,155",-205,360,89,206,"6,967",161,269,Y,4,11
N11,"113,026","120,434","26,002","5,885",-198,232,120,179,"3,299",985,192,Y,4,4
N13,"151,776","153,564","32,965","4,761",-196,241,-24,-468,"7,713",802,"19,013",Y,4,2
O5,"111,753","119,583","23,268","1,725",-261,336,230,104,"7,756",53,426,Y,4,6
O8,"119,247","131,714","31,045","3,118",-138,561,72,490,"6,307",297,918,Y,4,8
O10,"73,620","117,132","30,707","2,002",-100,497,143,294,"7,787",302,270,Y,4,2
P9,"97,889","127,985","49,423","4,377",-82,"1,008",96,619,"5,515",71,839,Y,4,20
A5,"168,117","178,280","38,243","1,719",-48,468,124,429,"4,877",209,"1,526",Y,5,5
A8,"134,191","161,480","33,982","3,179",-127,447,72,291,"3,934",31,329,Y,5,4
A11,"101,202","122,323","38,072","3,840",-73,553,38,353,"4,008",-65,443,Y,5,10
A15,"99,834","134,990","49,931","4,412",-210,786,127,386,"9,382",183,"1,340",Y,5,9
A24,"114,465","140,521","29,280","3,433",-80,428,-51,283,"9,493",789,380,Y,5,6
B10,"101,786","129,930","30,877","2,044",-123,986,52,187,"7,000",583,"3,893",Y,5,3
