CD41_APCH7,MICB_647,Zombie_violet,PVR_PECy7,CD51_FITC,VEGFR1_594,CD168_700,CD42_BV605,Colony
"9,775",23,-186,152,-44,"1,243",16,"3,072",0
"5,090",-83,-159,325,9,914,576,39,0
"7,923",140,-76,315,-66,742,142,"1,156",0
"4,625",193,149,145,252,12,952,"8,109",0
"3,962",170,-40,278,287,420,"1,268",118,0
"6,501",-55,-308,-156,-291,"1,775",827,"3,535",0
"7,460",335,-189,332,319,"1,265",-115,686,0
"7,401",482,723,4,"1,409","-1,385","6,436","11,521",0
"7,796",144,-205,"1,590",409,"1,246","1,329","2,520",0
"3,449",178,-5,270,170,330,841,"1,153",0
"7,940",54,-120,14,-24,908,540,67,0
"13,270",131,-129,"1,182",406,"1,235","13,514","7,013",0
"7,978",14,-29,233,215,"1,172","1,303",511,0
"7,313",198,-188,"1,120",129,"1,355","1,587",-55,0
"10,558",-102,-112,75,108,"1,371","2,862","5,104",0
"6,479",77,-143,616,161,871,891,43,0
"4,393",-307,-145,82,-57,960,803,897,0
"3,402",-2,-127,"1,008",92,819,886,451,0
"1,548",175,-104,409,218,713,571,47,0
"6,219",243,40,206,233,510,367,"2,782",0
"8,106",359,-126,"1,150",86,"1,059","1,618",707,0
"3,166",500,-202,"2,507",161,"1,203","1,093",6,0
"12,643",-76,-128,-51,-42,"1,211","2,264","1,702",0
"8,728",515,151,172,437,-68,365,"6,045",0
"3,651",-46,-93,258,59,605,60,28,0
"4,128",171,-198,"1,964",-45,"1,010",-270,-137,0
"5,244",-65,-136,320,-57,942,"1,779",5,0
"7,073",-101,10,12,354,969,872,"2,884",0
"5,166",-10,-150,313,43,890,325,667,0
"5,081",-70,-120,-319,45,532,-252,"13,531",0
"15,900",40,-60,172,205,"1,060","5,827","4,005",0
"3,254",265,-205,"1,977",-173,"1,233",96,-151,0
"14,957",6,-229,-59,157,"1,765","7,387","11,616",0
"5,483",220,52,127,492,861,"1,052",329,0
"20,718",474,233,"1,422",736,-467,"4,260","15,202",0
"5,361",126,-57,495,318,925,505,"2,254",0
"8,202",118,-122,-155,275,999,712,"1,308",0
"8,680",108,31,127,394,404,904,"2,220",0
"5,714",55,-177,406,10,"1,060",234,650,0
"10,381",98,-259,266,39,"1,755","1,289",878,0
"15,665",81,-30,-116,375,"1,046","1,589",915,0
"7,190",-93,-81,-202,21,945,550,"3,895",0
481,227,-56,"1,697",16,566,611,-13,0
"13,243",125,30,361,712,"1,102","1,698",481,0
"5,292",362,-66,524,236,697,"1,778","2,548",0
"9,894",-27,-209,-423,-80,965,466,"4,162",0
"10,505",-185,-169,68,198,"1,027",830,502,0
"5,426",173,27,-15,173,504,208,"4,832",0
"7,322",-29,-73,212,81,875,-23,"3,529",0
"7,216",297,200,188,636,-557,"3,381","12,776",0
"3,953",472,-250,"3,165",-53,"1,577",344,-107,0
"6,085",-141,-269,-264,-208,"1,236",-90,743,0
"3,050",213,-238,"3,431",-114,"1,339","1,128",-116,0
"4,074",94,-197,973,48,"1,054","1,805",154,0
"7,754",187,-152,-62,-230,"1,023",127,"5,799",0
"4,471",20,-52,38,136,617,370,"2,080",0
"9,086",125,111,281,355,255,"1,618","4,175",0
"3,824",-46,-5,105,-7,245,286,183,0
"6,332",45,-170,836,-134,"1,256","2,678",621,0
"11,097",141,144,-104,254,68,"1,335","5,194",0
"16,282",-13,-122,498,363,"1,387","7,860","6,842",0
"14,205",-78,-101,-189,293,773,997,805,0
"10,106",514,553,910,892,"-1,969","1,968","11,760",0
"10,608",142,16,-11,94,637,568,"18,250",0
"5,879",283,352,341,613,"-1,247","3,994","13,629",0
"5,819",342,194,257,624,199,"2,469","3,997",0
"5,749",380,-256,475,17,"1,300",-7,-87,0
"18,309",85,191,-233,293,-199,"1,387","8,830",0
"8,381",150,-180,701,123,"1,750",308,-120,0
"13,279",225,-153,522,730,"2,119","6,393",642,0
"11,289",154,-175,447,106,989,534,-68,0
"12,120",-154,-347,-152,-176,"1,834",155,"4,725",0
"7,691",71,-68,"1,234",50,631,308,"1,671",0
"4,793",525,-142,"1,771",102,964,609,262,0
"12,481",-295,-291,-215,-270,"2,226","8,514","1,920",0
"2,475",5,-107,386,21,815,77,-5,0
"9,508",22,-70,295,284,871,"1,058","1,505",0
"13,727",63,-320,-222,-334,"2,462",424,"3,336",0
"4,511",140,27,682,203,60,317,"4,003",0
"4,568",261,198,55,358,-372,"1,097","5,936",0
"7,124",-17,-137,"1,113",242,956,362,340,0
"14,025","-1,325","-2,132",-31,"-2,265","9,842","5,665","1,127",0
"3,856",-8,-42,166,113,584,272,"2,865",0
"5,397",326,-232,"2,758",243,"1,078",715,-122,0
"2,466",101,5,45,140,441,343,168,0
"15,337",451,-24,503,495,"1,557","1,670","2,493",0
"11,197",241,-31,513,572,"1,097","2,433",802,0
"2,160",416,-187,"1,490",40,"1,258",746,-139,0
"4,171",224,16,498,538,517,736,471,0
"5,510",17,-70,307,179,659,"1,303",391,0
"5,295",365,-90,"1,012",298,719,277,114,0
"5,543",686,-17,"1,093",336,"1,037","1,708",361,0
"5,530",201,40,141,379,201,263,"1,971",0
"12,399",259,125,537,750,-95,"1,022","2,797",0
"4,552",463,1,"1,511",256,327,975,508,0
"14,313",680,162,513,863,262,"1,877","9,271",0
"6,477",230,6,465,404,389,445,701,0
"20,176",-51,-709,"1,538",-942,"3,574","17,767",-151,0
"8,614",80,-198,103,-2,"1,268","1,280","3,151",0
"6,854",145,-70,39,-3,622,874,"3,613",0
"5,639",459,49,830,428,"1,202","2,883","1,307",0
"8,933",5,39,-43,171,525,"1,352","2,076",0
"8,901",27,-107,182,103,849,142,"2,190",0
"4,642",106,28,-186,199,459,-150,"5,272",0
"9,635",168,472,121,844,"-1,351","1,632","11,734",0
"11,544",572,244,"1,257",730,-214,"2,799","9,106",0
"10,098",60,-158,-225,44,"1,507",752,"3,064",0
"9,211",509,27,"1,679",759,"1,090","2,581","1,753",0
"3,469",226,-103,800,26,584,125,398,0
"9,464",13,126,385,"1,284","1,005","4,409","3,492",0
"6,572",433,438,-156,759,"-1,662",140,"16,814",0
"4,945",153,70,791,894,655,"1,841",404,0
"13,585",222,-162,76,180,"2,042","2,197","1,958",0
"15,106",-127,51,"1,029","1,102","1,236","5,753",794,0
"12,201",-492,"-1,311","1,527","-1,345","4,935","27,072","1,690",0
"7,041",372,-135,"2,848",260,"1,699","4,503",423,0
"4,567",276,111,552,"1,035",621,756,323,0
"2,255",118,50,512,239,198,316,167,0
"3,769",350,-108,"1,304",85,705,"1,689",175,0
"5,502",168,-188,491,187,"1,343","2,328","7,572",0
"1,143",522,-83,"1,508",-54,718,130,-45,0
"10,119",188,47,140,379,495,"3,171","1,429",0
"12,479","-1,133",-358,-447,"-1,472","4,167","55,879","-1,061",0
"11,025",129,163,195,335,159,"2,180","7,094",0
"6,435",121,304,134,524,-984,"1,408","6,576",0
"9,294",72,-148,-230,3,"1,564","1,315","2,473",0
-64,59,-31,97,101,134,778,195,0
